return_id,order_id,return_reason,return_date
R0000064,O00001526,Quality Issue,2024-01-02
R0000065,O00001551,Quality Issue,2025-04-04
R0000066,O00001586,Late Delivery,2024-10-13
R0000067,O00001601,Damaged Item,2025-08-21
R0000068,O00001609,Quality Issue,2024-08-27
R0000069,O00001634,Size Issue,2025-11-27
R0000070,O00001637,Quality Issue,2025-12-03
R0000071,O00001665,Damaged Item,2024-12-22
R0000072,O00001684,Quality Issue,2024-03-18
R0000073,O00001689,Size Issue,2024-10-11
R0000074,O00001696,Wrong Item,2023-12-31
R0000075,O00001697,Damaged Item,2024-08-24
R0000076,O00001727,Late Delivery,2025-12-28
R0000077,O00001731,Late Delivery,2023-10-21
R0000078,O00001754,Late Delivery,2024-12-26
R0000079,O00001774,Damaged Item,2025-06-29
R0000080,O00001782,Size Issue,2025-11-28
R0000081,O00001795,Damaged Item,2025-08-09
R0000082,O00001797,Quality Issue,2025-12-08
R0000083,O00001807,Damaged Item,2025-11-20
R0000084,O00001847,Quality Issue,2024-10-04
R0000085,O00001855,Changed Mind,2025-03-10
R0000086,O00001873,Late Delivery,2025-09-30
R0000087,O00001892,Damaged Item,2024-12-31
R0000088,O00001901,Damaged Item,2024-05-20
R0000089,O00001925,Changed Mind,2025-03-23
R0000090,O00001929,Size Issue,2025-08-12
R0000091,O00001961,Late Delivery,2025-11-24
R0000092,O00001978,Late Delivery,2025-07-04
R0000093,O00001994,Late Delivery,2026-01-14
R0000094,O00002004,Wrong Item,2025-11-19
R0000095,O00002006,Changed Mind,2025-02-12
R0000096,O00002008,Wrong Item,2025-10-21
R0000097,O00002027,Changed Mind,2024-12-23
R0000098,O00002039,Damaged Item,2025-04-15
R0000099,O00002042,Quality Issue,2025-12-12
R0000100,O00002082,Wrong Item,2024-03-21
R0000101,O00002088,Damaged Item,2024-09-04
R0000102,O00002105,Size Issue,2025-12-19
R0000103,O00002141,Changed Mind,2025-07-31
R0000104,O00002170,Quality Issue,2025-12-10
R0000105,O00002175,Wrong Item,2023-10-13
R0000106,O00002183,Quality Issue,2026-01-08
R0000107,O00002226,Late Delivery,2024-06-11
R0000108,O00002256,Damaged Item,2025-10-25
R0000109,O00002276,Late Delivery,2025-11-06
R0000110,O00002278,Damaged Item,2023-09-25
R0000111,O00002281,Size Issue,2023-12-10
R0000112,O00002290,Quality Issue,2025-12-15
R0000113,O00002309,Size Issue,2024-03-28
R0000114,O00002315,Damaged Item,2025-07-17
R0000115,O00002321,Damaged Item,2025-06-14
R0000116,O00002338,Changed Mind,2023-05-06
R0000117,O00002359,Quality Issue,2024-11-27
R0000118,O00002369,Changed Mind,2025-04-03
R0000119,O00002378,Size Issue,2025-11-03
R0000120,O00002385,Quality Issue,2025-12-16
R0000121,O00002417,Quality Issue,2024-09-21
R0000122,O00002418,Quality Issue,2025-01-17
R0000123,O00002428,Wrong Item,2024-04-09
R0000124,O00002442,Quality Issue,2024-12-31
R0000125,O00002448,Changed Mind,2025-11-27
R0000126,O00002499,Quality Issue,2025-11-11
R0000127,O00002531,Quality Issue,2025-12-08
R0000128,O00002555,Size Issue,2024-03-02
R0000129,O00002556,Late Delivery,2025-08-07
R0000130,O00002568,Size Issue,2025-05-28
R0000131,O00002580,Quality Issue,2024-12-07
R0000132,O00002593,Damaged Item,2025-04-20
R0000133,O00002620,Quality Issue,2025-12-15
R0000134,O00002640,Damaged Item,2025-11-13
R0000135,O00002659,Size Issue,2025-01-21
R0000136,O00002737,Quality Issue,2024-09-20
R0000137,O00002756,Late Delivery,2025-10-11
R0000138,O00002758,Changed Mind,2025-12-23
R0000139,O00002770,Size Issue,2025-08-21
R0000140,O00002801,Quality Issue,2023-04-08
R0000141,O00002807,Size Issue,2025-05-02
R0000142,O00002814,Damaged Item,2025-11-23
R0000143,O00002820,Wrong Item,2025-08-12
R0000144,O00002844,Changed Mind,2024-06-02
R0000145,O00002851,Size Issue,2025-03-19
R0000146,O00002892,Late Delivery,2025-11-17
R0000147,O00002910,Size Issue,2025-11-06
R0000148,O00002929,Changed Mind,2024-10-24
R0000149,O00002999,Quality Issue,2025-08-26
R0000150,O00003018,Damaged Item,2025-12-17
R0000151,O00003040,Late Delivery,2024-09-16
R0000152,O00003095,Changed Mind,2025-04-25
R0000153,O00003134,Size Issue,2025-08-24
R0000154,O00003195,Late Delivery,2025-12-21
R0000155,O00003214,Quality Issue,2025-07-08
R0000156,O00003241,Size Issue,2025-07-16
R0000157,O00003252,Quality Issue,2025-07-09
R0000158,O00003299,Wrong Item,2024-12-19
R0000159,O00003305,Size Issue,2026-01-02
R0000160,O00003348,Quality Issue,2024-11-29
R0000161,O00003352,Late Delivery,2023-12-29
R0000162,O00003358,Changed Mind,2024-12-13
R0000163,O00003394,Changed Mind,2025-10-12
R0000164,O00003427,Wrong Item,2024-07-21
R0000165,O00003431,Wrong Item,2025-07-25
R0000166,O00003440,Quality Issue,2024-04-15
R0000167,O00003473,Quality Issue,2024-09-05
R0000168,O00003484,Size Issue,2025-12-30
R0000169,O00003486,Changed Mind,2026-01-17
R0000170,O00003503,Changed Mind,2025-07-15
R0000171,O00003541,Quality Issue,2024-11-06
R0000172,O00003644,Changed Mind,2025-10-01
R0000173,O00003686,Late Delivery,2025-03-29
R0000174,O00003703,Changed Mind,2025-04-16
R0000175,O00003751,Damaged Item,2024-08-05
R0000176,O00003762,Wrong Item,2025-12-23
R0000177,O00003846,Wrong Item,2025-03-28
R0000178,O00003855,Quality Issue,2024-08-08
R0000179,O00003863,Size Issue,2024-02-19
R0000180,O00003868,Late Delivery,2026-01-06
R0000181,O00003893,Late Delivery,2025-08-22
R0000182,O00003901,Quality Issue,2025-08-31
R0000183,O00003923,Damaged Item,2025-12-14
R0000184,O00003971,Wrong Item,2025-10-04
R0000185,O00003976,Late Delivery,2025-01-01
R0000186,O00004029,Size Issue,2024-05-03
R0000187,O00004048,Late Delivery,2025-03-14
R0000188,O00004086,Size Issue,2026-01-26
R0000189,O00004092,Wrong Item,2025-10-18
R0000190,O00004104,Size Issue,2025-05-13
R0000191,O00004107,Late Delivery,2026-01-24
R0000192,O00004160,Late Delivery,2024-10-04
R0000193,O00004172,Damaged Item,2025-02-11
R0000194,O00004173,Damaged Item,2026-02-01
R0000195,O00004180,Quality Issue,2025-06-25
R0000196,O00004186,Late Delivery,2024-09-10
R0000197,O00004202,Quality Issue,2025-11-13
R0000198,O00004206,Late Delivery,2025-01-27
R0000199,O00004210,Damaged Item,2023-08-10
R0000200,O00004219,Damaged Item,2025-08-28
R0000201,O00004241,Damaged Item,2023-05-01
R0000202,O00004274,Late Delivery,2023-09-12
R0000203,O00004283,Quality Issue,2025-12-28
R0000204,O00004290,Quality Issue,2025-12-24
R0000205,O00004318,Damaged Item,2025-12-17
R0000206,O00004320,Size Issue,2026-01-10
R0000207,O00004338,Changed Mind,2024-10-18
R0000208,O00004344,Late Delivery,2025-01-29
R0000209,O00004359,Late Delivery,2025-01-16
R0000210,O00004390,Wrong Item,2024-08-20
R0000211,O00004399,Quality Issue,2025-12-15
R0000212,O00004425,Changed Mind,2025-10-09
R0000213,O00004463,Wrong Item,2026-01-22
R0000214,O00004476,Wrong Item,2025-01-06
R0000215,O00004478,Late Delivery,2025-07-13
R0000216,O00004493,Size Issue,2025-09-18
R0000217,O00004494,Damaged Item,2025-10-16
R0000218,O00004512,Quality Issue,2025-12-14
R0000219,O00004558,Wrong Item,2025-03-07
R0000220,O00004569,Changed Mind,2026-01-14
R0000221,O00004580,Late Delivery,2025-10-14
R0000222,O00004620,Late Delivery,2025-10-27
R0000223,O00004636,Changed Mind,2025-06-15
R0000224,O00004648,Quality Issue,2025-01-07
R0000225,O00004663,Quality Issue,2025-02-03
R0000226,O00004679,Late Delivery,2024-10-08
R0000227,O00004725,Damaged Item,2025-10-03
R0000228,O00004731,Damaged Item,2024-04-28
R0000229,O00004743,Damaged Item,2025-10-16
R0000230,O00004768,Damaged Item,2025-09-12
R0000231,O00004778,Damaged Item,2025-12-24
R0000232,O00004779,Damaged Item,2025-09-22
R0000233,O00004800,Changed Mind,2025-03-08
R0000234,O00004811,Damaged Item,2023-12-03
R0000235,O00004815,Damaged Item,2024-08-17
R0000236,O00004818,Quality Issue,2025-10-14
R0000237,O00004819,Late Delivery,2025-10-23
R0000238,O00004834,Late Delivery,2025-05-20
R0000239,O00004847,Late Delivery,2023-10-23
R0000240,O00004868,Wrong Item,2025-04-28
R0000241,O00004869,Wrong Item,2025-08-25
R0000242,O00004912,Late Delivery,2025-08-04
R0000243,O00004935,Quality Issue,2025-10-26
R0000244,O00004940,Changed Mind,2025-04-29
R0000245,O00004961,Quality Issue,2025-01-15
R0000246,O00004978,Size Issue,2025-08-12
R0000247,O00004989,Damaged Item,2026-01-17
R0000248,O00004998,Damaged Item,2024-12-18
R0000249,O00005017,Late Delivery,2025-08-21
R0000250,O00005029,Damaged Item,2024-12-28
R0000251,O00005032,Damaged Item,2026-01-04
R0000252,O00005036,Damaged Item,2025-08-25
R0000253,O00005081,Late Delivery,2024-12-17
R0000254,O00005090,Damaged Item,2025-05-30
R0000255,O00005131,Size Issue,2024-10-24
R0000256,O00005133,Late Delivery,2024-12-28
R0000257,O00005178,Size Issue,2025-10-08
R0000258,O00005182,Changed Mind,2026-01-04
R0000259,O00005228,Damaged Item,2025-10-18
R0000260,O00005239,Late Delivery,2025-11-23
R0000261,O00005254,Late Delivery,2025-11-29
R0000262,O00005315,Damaged Item,2024-12-24
R0000263,O00005318,Wrong Item,2025-01-31
R0000264,O00005324,Quality Issue,2025-05-23
R0000265,O00005326,Quality Issue,2025-06-29
R0000266,O00005331,Damaged Item,2025-12-15
R0000267,O00005336,Quality Issue,2026-01-23
R0000268,O00005361,Quality Issue,2024-09-04
R0000269,O00005394,Changed Mind,2025-09-03
R0000270,O00005404,Size Issue,2024-04-03
R0000271,O00005419,Changed Mind,2025-12-22
R0000272,O00005452,Damaged Item,2025-12-27
R0000273,O00005457,Wrong Item,2025-07-03
R0000274,O00005461,Wrong Item,2024-01-01
R0000275,O00005473,Wrong Item,2024-12-20
R0000276,O00005482,Quality Issue,2024-06-24
R0000277,O00005519,Late Delivery,2025-11-08
R0000278,O00005538,Damaged Item,2025-01-09
R0000279,O00005546,Quality Issue,2025-07-13
R0000280,O00005575,Damaged Item,2024-12-06
R0000281,O00005601,Damaged Item,2024-11-03
R0000282,O00005610,Changed Mind,2025-07-31
R0000283,O00005622,Late Delivery,2025-05-14
R0000284,O00005634,Changed Mind,2026-01-11
R0000285,O00005655,Changed Mind,2025-11-09
R0000286,O00005662,Damaged Item,2024-05-20
R0000287,O00005667,Damaged Item,2025-07-10
R0000288,O00005668,Damaged Item,2025-07-31
R0000289,O00005819,Damaged Item,2025-11-07
R0000290,O00005822,Changed Mind,2024-11-29
R0000291,O00005828,Changed Mind,2025-11-22
R0000292,O00005833,Late Delivery,2025-10-11
R0000293,O00005838,Damaged Item,2025-12-23
R0000294,O00005849,Wrong Item,2024-10-02
R0000295,O00005871,Changed Mind,2025-07-03
R0000296,O00005880,Damaged Item,2024-12-15
R0000297,O00005912,Quality Issue,2024-02-04
R0000298,O00005919,Quality Issue,2024-02-17
R0000299,O00005924,Changed Mind,2025-07-11
R0000300,O00005942,Quality Issue,2024-02-02
R0000301,O00005971,Late Delivery,2023-07-22
R0000302,O00005982,Wrong Item,2024-09-07
R0000303,O00005991,Quality Issue,2025-12-17
R0000304,O00006014,Damaged Item,2025-08-17
R0000305,O00006056,Size Issue,2026-01-09
R0000306,O00006087,Late Delivery,2025-12-07
R0000307,O00006097,Wrong Item,2025-08-24
R0000308,O00006106,Damaged Item,2025-12-16
R0000309,O00006113,Quality Issue,2025-04-24
R0000310,O00006133,Damaged Item,2025-11-24
R0000311,O00006155,Quality Issue,2023-08-24
R0000312,O00006169,Late Delivery,2026-01-12
R0000313,O00006203,Changed Mind,2025-10-24
R0000314,O00006228,Quality Issue,2024-07-18
R0000315,O00006245,Size Issue,2023-11-03
R0000316,O00006250,Size Issue,2024-02-17
R0000317,O00006263,Size Issue,2025-12-13
R0000318,O00006274,Quality Issue,2023-12-11
R0000319,O00006284,Quality Issue,2025-01-03
R0000320,O00006287,Quality Issue,2025-05-31
R0000321,O00006311,Changed Mind,2024-12-28
R0000322,O00006323,Wrong Item,2025-11-27
R0000323,O00006356,Quality Issue,2025-11-27
R0000324,O00006365,Late Delivery,2025-12-29
R0000325,O00006395,Size Issue,2025-03-18
R0000326,O00006397,Damaged Item,2025-08-18
R0000327,O00006407,Quality Issue,2024-08-19
R0000328,O00006418,Wrong Item,2025-07-17
R0000329,O00006445,Quality Issue,2025-10-13
R0000330,O00006451,Late Delivery,2025-05-28
R0000331,O00006470,Changed Mind,2025-11-20
R0000332,O00006474,Quality Issue,2025-12-19
R0000333,O00006518,Damaged Item,2025-01-17
R0000334,O00006551,Changed Mind,2024-09-07
R0000335,O00006554,Changed Mind,2023-09-26
R0000336,O00006556,Damaged Item,2023-10-09
R0000337,O00006574,Late Delivery,2023-04-27
R0000338,O00006599,Wrong Item,2025-11-04
R0000339,O00006625,Damaged Item,2024-04-05
R0000340,O00006647,Size Issue,2024-09-04
R0000341,O00006680,Size Issue,2024-01-27
R0000342,O00006691,Changed Mind,2024-11-05
R0000343,O00006716,Late Delivery,2025-12-07
R0000344,O00006726,Quality Issue,2024-06-04
R0000345,O00006737,Size Issue,2023-05-15
R0000346,O00006738,Size Issue,2023-08-21
R0000347,O00006748,Late Delivery,2025-01-17
R0000348,O00006778,Damaged Item,2025-03-25
R0000349,O00006789,Damaged Item,2025-04-02
R0000350,O00006801,Wrong Item,2025-08-03
R0000351,O00006836,Changed Mind,2023-05-05
R0000352,O00006838,Size Issue,2023-08-01
R0000353,O00006842,Size Issue,2024-03-02
R0000354,O00006892,Quality Issue,2025-09-10
R0000355,O00006924,Size Issue,2024-05-02
R0000356,O00006940,Wrong Item,2025-11-19
R0000357,O00006941,Damaged Item,2025-12-02
R0000358,O00006951,Size Issue,2025-07-25
R0000359,O00006958,Quality Issue,2025-07-21
R0000360,O00006972,Damaged Item,2024-11-01
R0000361,O00006976,Changed Mind,2025-05-26
R0000362,O00007000,Quality Issue,2025-09-18
R0000363,O00007010,Damaged Item,2024-07-26
R0000364,O00007015,Size Issue,2024-01-05
R0000365,O00007037,Wrong Item,2026-01-15
R0000366,O00007099,Quality Issue,2023-07-15
R0000367,O00007119,Wrong Item,2025-07-27
R0000368,O00007120,Late Delivery,2023-05-24
R0000369,O00007150,Quality Issue,2024-07-22
R0000370,O00007177,Changed Mind,2025-08-23
R0000371,O00007183,Size Issue,2025-11-26
R0000372,O00007204,Wrong Item,2025-12-22
R0000373,O00007207,Damaged Item,2023-12-28
R0000374,O00007241,Changed Mind,2024-11-05
R0000375,O00007281,Quality Issue,2025-04-22
R0000376,O00007303,Size Issue,2025-12-28
R0000377,O00007307,Wrong Item,2023-04-30
R0000378,O00007313,Quality Issue,2025-05-27
R0000379,O00007328,Wrong Item,2024-10-05
R0000380,O00007341,Late Delivery,2025-09-24
R0000381,O00007364,Late Delivery,2025-08-16
R0000382,O00007370,Damaged Item,2025-03-11
R0000383,O00007380,Damaged Item,2026-01-23
R0000384,O00007423,Changed Mind,2025-04-29
R0000385,O00007438,Size Issue,2023-10-31
R0000386,O00007517,Size Issue,2024-09-21
R0000387,O00007521,Wrong Item,2025-03-05
R0000388,O00007536,Damaged Item,2023-01-31
R0000389,O00007631,Damaged Item,2025-08-22
R0000390,O00007641,Quality Issue,2025-06-06
R0000391,O00007642,Damaged Item,2025-01-12
R0000392,O00007645,Wrong Item,2025-11-28
R0000393,O00007670,Quality Issue,2024-08-27
R0000394,O00007721,Size Issue,2024-01-11
R0000395,O00007743,Late Delivery,2023-11-28
R0000396,O00007767,Quality Issue,2023-10-21
R0000397,O00007788,Quality Issue,2025-08-22
R0000398,O00007795,Quality Issue,2025-11-30
R0000399,O00007817,Late Delivery,2025-11-18
R0000400,O00007821,Quality Issue,2025-11-08
R0000401,O00007868,Wrong Item,2025-08-09
R0000402,O00007881,Size Issue,2025-04-24
R0000403,O00007950,Changed Mind,2024-03-28
R0000404,O00007959,Late Delivery,2024-06-22
R0000405,O00007962,Quality Issue,2025-07-11
R0000406,O00007970,Late Delivery,2025-10-27
R0000407,O00007989,Late Delivery,2025-08-23
R0000408,O00008003,Size Issue,2025-09-10
R0000409,O00008009,Quality Issue,2026-01-02
R0000410,O00008010,Size Issue,2025-05-28
R0000411,O00008015,Quality Issue,2025-12-26
R0000412,O00008054,Wrong Item,2025-12-03
R0000413,O00008072,Quality Issue,2025-12-11
R0000414,O00008081,Wrong Item,2025-10-24
R0000415,O00008111,Size Issue,2024-05-15
R0000416,O00008142,Wrong Item,2025-06-21
R0000417,O00008157,Late Delivery,2025-04-01
R0000418,O00008171,Changed Mind,2024-07-18
R0000419,O00008183,Late Delivery,2025-12-30
R0000420,O00008231,Wrong Item,2026-01-04
R0000421,O00008306,Size Issue,2025-07-15
R0000422,O00008332,Size Issue,2025-05-09
R0000423,O00008352,Late Delivery,2025-06-15
R0000424,O00008364,Late Delivery,2025-10-30
R0000425,O00008371,Late Delivery,2025-12-22
R0000426,O00008385,Quality Issue,2025-12-05
R0000427,O00008388,Damaged Item,2025-12-24
R0000428,O00008429,Late Delivery,2024-09-11
R0000429,O00008431,Wrong Item,2025-01-13
R0000430,O00008438,Late Delivery,2025-11-21
R0000431,O00008538,Wrong Item,2023-02-09
R0000432,O00008540,Damaged Item,2025-08-09
R0000433,O00008548,Late Delivery,2025-09-05
R0000434,O00008552,Size Issue,2025-10-31
R0000435,O00008581,Wrong Item,2025-10-04
R0000436,O00008582,Late Delivery,2025-10-11
R0000437,O00008601,Quality Issue,2025-03-03
R0000438,O00008641,Changed Mind,2025-05-24
R0000439,O00008655,Late Delivery,2025-08-16
R0000440,O00008658,Size Issue,2025-10-19
R0000441,O00008662,Late Delivery,2026-01-04
R0000442,O00008667,Quality Issue,2023-12-24
R0000443,O00008689,Late Delivery,2025-11-16
R0000444,O00008751,Changed Mind,2025-02-15
R0000445,O00008774,Size Issue,2025-07-19
R0000446,O00008784,Late Delivery,2024-01-10
R0000447,O00008802,Size Issue,2025-04-15
R0000448,O00008834,Late Delivery,2023-12-12
R0000449,O00008840,Wrong Item,2024-10-14
R0000450,O00008862,Late Delivery,2025-07-09
R0000451,O00008872,Damaged Item,2024-12-31
R0000452,O00008891,Late Delivery,2025-09-21
R0000453,O00008902,Late Delivery,2023-07-10
R0000454,O00008906,Quality Issue,2025-07-28
R0000455,O00008937,Damaged Item,2024-12-11
R0000456,O00008941,Damaged Item,2025-11-26
R0000457,O00008958,Late Delivery,2025-08-16
R0000458,O00009006,Damaged Item,2025-08-13
R0000459,O00009012,Changed Mind,2025-05-05
R0000460,O00009048,Damaged Item,2025-11-17
R0000461,O00009060,Wrong Item,2024-10-23
R0000462,O00009077,Changed Mind,2023-04-03
R0000463,O00009079,Wrong Item,2023-08-12
R0000464,O00009105,Quality Issue,2025-07-08
R0000465,O00009108,Wrong Item,2025-09-24
R0000466,O00009136,Late Delivery,2025-04-25
R0000467,O00009137,Wrong Item,2025-05-19
R0000468,O00009162,Quality Issue,2025-02-22
R0000469,O00009171,Quality Issue,2023-11-10
R0000470,O00009173,Late Delivery,2024-02-16
R0000471,O00009180,Late Delivery,2025-01-01
R0000472,O00009208,Quality Issue,2025-01-10
R0000473,O00009209,Quality Issue,2025-02-09
R0000474,O00009228,Quality Issue,2025-03-02
R0000475,O00009234,Damaged Item,2025-11-20
R0000476,O00009250,Size Issue,2026-01-25
R0000477,O00009252,Changed Mind,2025-04-25
R0000478,O00009253,Wrong Item,2025-04-22
R0000479,O00009258,Wrong Item,2025-03-24
R0000480,O00009294,Late Delivery,2024-06-07
R0000481,O00009311,Damaged Item,2025-07-25
R0000482,O00009338,Quality Issue,2024-12-19
R0000483,O00009371,Size Issue,2025-10-11
R0000484,O00009403,Wrong Item,2026-01-20
R0000485,O00009419,Late Delivery,2025-06-21
R0000486,O00009435,Damaged Item,2024-06-21
R0000487,O00009437,Changed Mind,2024-07-29
R0000488,O00009445,Damaged Item,2025-12-03
R0000489,O00009463,Quality Issue,2025-05-27
R0000490,O00009496,Changed Mind,2025-12-26
R0000491,O00009528,Damaged Item,2025-11-09
R0000492,O00009543,Late Delivery,2023-09-16
R0000493,O00009547,Wrong Item,2024-10-21
R0000494,O00009568,Size Issue,2025-10-01
R0000495,O00009574,Late Delivery,2024-12-20
R0000496,O00009605,Size Issue,2024-10-15
R0000497,O00009616,Wrong Item,2025-11-11
R0000498,O00009618,Late Delivery,2025-12-30
R0000499,O00009670,Wrong Item,2025-12-31
R0000500,O00009674,Late Delivery,2025-07-08
R0000501,O00009676,Wrong Item,2025-10-24
R0000502,O00009678,Late Delivery,2025-10-30
R0000503,O00009686,Late Delivery,2025-11-10
R0000504,O00009695,Quality Issue,2024-02-15
R0000505,O00009707,Late Delivery,2024-09-12
R0000506,O00009734,Wrong Item,2026-01-27
R0000507,O00009742,Quality Issue,2025-09-10
R0000508,O00009753,Wrong Item,2025-01-03
R0000509,O00009767,Wrong Item,2026-01-15
R0000510,O00009783,Size Issue,2024-07-23
R0000511,O00009791,Wrong Item,2025-10-18
R0000512,O00009793,Size Issue,2025-11-29
R0000513,O00009812,Changed Mind,2025-10-22
R0000514,O00009838,Changed Mind,2026-01-07
R0000515,O00009900,Changed Mind,2025-11-07
R0000516,O00009909,Changed Mind,2024-11-13
R0000517,O00009946,Changed Mind,2025-01-18
R0000518,O00009960,Changed Mind,2024-06-13
R0000519,O00009991,Damaged Item,2025-07-10
R0000520,O00010024,Quality Issue,2025-01-24
R0000521,O00010031,Late Delivery,2026-01-02
R0000522,O00010036,Quality Issue,2024-12-03
R0000523,O00010050,Changed Mind,2025-09-27
R0000524,O00010067,Quality Issue,2025-07-07
R0000525,O00010082,Wrong Item,2025-07-01
R0000526,O00010097,Wrong Item,2025-06-10
R0000527,O00010098,Late Delivery,2024-09-09
R0000528,O00010100,Damaged Item,2025-12-28
R0000529,O00010102,Late Delivery,2023-03-22
R0000530,O00010119,Size Issue,2024-12-21
R0000531,O00010121,Size Issue,2025-02-28
R0000532,O00010134,Damaged Item,2024-11-26
R0000533,O00010184,Damaged Item,2025-10-27
R0000534,O00010197,Wrong Item,2025-09-21
R0000535,O00010225,Quality Issue,2024-08-23
R0000536,O00010266,Size Issue,2025-11-07
R0000537,O00010279,Damaged Item,2024-04-05
R0000538,O00010344,Quality Issue,2025-01-21
R0000539,O00010357,Late Delivery,2026-01-05
R0000540,O00010376,Damaged Item,2025-12-31
R0000541,O00010377,Late Delivery,2025-12-18
R0000542,O00010395,Late Delivery,2025-06-19
R0000543,O00010412,Changed Mind,2025-09-12
R0000544,O00010432,Changed Mind,2024-12-13
R0000545,O00010441,Quality Issue,2025-11-24
R0000546,O00010448,Changed Mind,2024-02-25
R0000547,O00010463,Late Delivery,2025-09-11
R0000548,O00010529,Changed Mind,2026-01-03
R0000549,O00010547,Wrong Item,2025-04-22
R0000550,O00010567,Size Issue,2023-11-29
R0000551,O00010581,Late Delivery,2025-09-14
R0000552,O00010600,Damaged Item,2025-06-12
R0000553,O00010601,Size Issue,2025-11-17
R0000554,O00010608,Damaged Item,2025-08-03
R0000555,O00010619,Quality Issue,2025-04-29
R0000556,O00010628,Wrong Item,2025-09-27
R0000557,O00010631,Late Delivery,2024-12-08
R0000558,O00010636,Quality Issue,2024-06-11
R0000559,O00010653,Changed Mind,2024-12-29
R0000560,O00010738,Changed Mind,2025-08-20
R0000561,O00010746,Quality Issue,2025-05-21
R0000562,O00010773,Wrong Item,2026-01-21
R0000563,O00010806,Wrong Item,2025-05-05
R0000564,O00010838,Late Delivery,2024-10-13
R0000565,O00010881,Size Issue,2025-04-11
R0000566,O00010885,Late Delivery,2025-06-05
R0000567,O00010927,Late Delivery,2023-09-29
R0000568,O00010951,Changed Mind,2025-08-24
R0000569,O00010960,Quality Issue,2023-11-23
R0000570,O00010981,Quality Issue,2025-01-10
R0000571,O00010997,Size Issue,2024-12-24
R0000572,O00011020,Damaged Item,2024-05-09
R0000573,O00011028,Damaged Item,2023-02-24
R0000574,O00011041,Quality Issue,2023-08-09
R0000575,O00011054,Quality Issue,2023-10-27
R0000576,O00011058,Wrong Item,2025-02-15
R0000577,O00011077,Size Issue,2025-04-12
R0000578,O00011105,Damaged Item,2025-05-15
R0000579,O00011118,Late Delivery,2025-12-10
R0000580,O00011119,Changed Mind,2025-12-20
R0000581,O00011176,Changed Mind,2025-09-09
R0000582,O00011206,Damaged Item,2025-11-29
R0000583,O00011227,Quality Issue,2025-10-31
R0000584,O00011302,Changed Mind,2025-10-27
R0000585,O00011341,Changed Mind,2025-03-29
