cohort_month,cohort_index,customers
2023-04-01,5,82
2023-04-01,6,79
2023-04-01,7,119
2023-04-01,8,107
2023-04-01,9,50
2023-04-01,10,44
2023-04-01,11,60
2023-04-01,12,59
2023-04-01,13,67
2023-04-01,14,56
2023-04-01,15,65
2023-04-01,16,66
2023-04-01,17,67
2023-04-01,18,73
2023-04-01,19,91
2023-04-01,20,115
2023-04-01,21,58
2023-04-01,22,51
2023-04-01,23,68
2023-04-01,24,61
2023-04-01,25,68
2023-04-01,26,70
2023-04-01,27,80
2023-04-01,28,72
2023-04-01,29,71
2023-04-01,30,86
2023-04-01,31,96
2023-04-01,32,121
2023-05-01,0,665
2023-05-01,1,77
2023-05-01,2,84
2023-05-01,3,99
2023-05-01,4,89
2023-05-01,5,85
2023-05-01,6,132
2023-05-01,7,128
2023-05-01,8,62
2023-05-01,9,72
2023-05-01,10,74
2023-05-01,11,71
2023-05-01,12,84
2023-05-01,13,65
2023-05-01,14,88
2023-05-01,15,92
2023-05-01,16,79
2023-05-01,17,85
2023-05-01,18,116
2023-05-01,19,137
2023-05-01,20,80
2023-05-01,21,69
2023-05-01,22,74
2023-05-01,23,77
2023-05-01,24,79
2023-05-01,25,72
2023-05-01,26,75
2023-05-01,27,79
2023-05-01,28,72
2023-05-01,29,77
2023-05-01,30,113
2023-05-01,31,127
2023-06-01,0,646
2023-06-01,1,70
2023-06-01,2,76
2023-06-01,3,64
2023-06-01,4,74
2023-06-01,5,122
2023-06-01,6,132
2023-06-01,7,64
2023-06-01,8,42
2023-06-01,9,68
2023-06-01,10,76
2023-06-01,11,68
2023-06-01,12,82
2023-06-01,13,70
2023-06-01,14,89
2023-06-01,15,72
2023-06-01,16,82
2023-06-01,17,117
2023-06-01,18,144
2023-06-01,19,62
2023-06-01,20,49
2023-06-01,21,76
2023-06-01,22,71
2023-06-01,23,68
2023-06-01,24,77
2023-06-01,25,83
2023-06-01,26,79
2023-06-01,27,78
2023-06-01,28,81
2023-06-01,29,109
2023-06-01,30,115
2023-07-01,0,736
2023-07-01,1,100
2023-07-01,2,102
2023-07-01,3,116
2023-07-01,4,143
2023-07-01,5,139
2023-07-01,6,77
2023-07-01,7,75
2023-07-01,8,97
2023-07-01,9,82
2023-07-01,10,100
2023-07-01,11,79
2023-07-01,12,107
2023-07-01,13,95
2023-07-01,14,85
2023-07-01,15,99
2023-07-01,16,135
2023-07-01,17,143
2023-07-01,18,83
2023-07-01,19,73
2023-07-01,20,88
2023-07-01,21,90
2023-07-01,22,88
2023-07-01,23,85
2023-07-01,24,88
2023-07-01,25,93
2023-07-01,26,86
2023-07-01,27,121
2023-07-01,28,125
2023-07-01,29,143
2023-08-01,0,807
2023-08-01,1,100
2023-08-01,2,112
2023-08-01,3,144
2023-08-01,4,150
2023-08-01,5,69
2023-08-01,6,84
2023-08-01,7,91
2023-08-01,8,91
2023-08-01,9,99
2023-08-01,10,90
2023-08-01,11,87
2023-08-01,12,89
2023-08-01,13,104
2023-08-01,14,110
2023-08-01,15,150
2023-08-01,16,157
2023-08-01,17,69
2023-08-01,18,61
2023-08-01,19,101
2023-08-01,20,87
2023-08-01,21,104
2023-08-01,22,74
2023-08-01,23,90
2023-08-01,24,80
2023-08-01,25,88
2023-08-01,26,101
2023-08-01,27,143
2023-08-01,28,154
2023-09-01,0,803
2023-09-01,1,89
2023-09-01,2,141
2023-09-01,3,151
2023-09-01,4,67
2023-09-01,5,71
2023-09-01,6,87
2023-09-01,7,75
2023-09-01,8,94
2023-09-01,9,85
2023-09-01,10,84
2023-09-01,11,99
2023-09-01,12,101
2023-09-01,13,109
2023-09-01,14,138
2023-09-01,15,159
2023-09-01,16,93
2023-09-01,17,84
2023-09-01,18,83
2023-09-01,19,67
2023-09-01,20,88
2023-09-01,21,98
2023-09-01,22,107
2023-09-01,23,110
2023-09-01,24,95
2023-09-01,25,110
2023-09-01,26,128
2023-09-01,27,156
2023-10-01,0,882
2023-10-01,1,168
2023-10-01,2,189
2023-10-01,3,85
2023-10-01,4,82
2023-10-01,5,101
2023-10-01,6,95
2023-10-01,7,80
2023-10-01,8,102
2023-10-01,9,104
2023-10-01,10,112
2023-10-01,11,94
2023-10-01,12,116
2023-10-01,13,162
2023-10-01,14,201
2023-10-01,15,84
2023-10-01,16,61
2023-10-01,17,106
2023-10-01,18,93
2023-10-01,19,102
2023-10-01,20,99
2023-10-01,21,101
2023-10-01,22,129
2023-10-01,23,126
2023-10-01,24,127
2023-10-01,25,159
2023-10-01,26,159
2023-11-01,0,1241
2023-11-01,1,248
2023-11-01,2,110
2023-11-01,3,107
2023-11-01,4,113
2023-11-01,5,109
2023-11-01,6,151
2023-11-01,7,115
2023-11-01,8,129
2023-11-01,9,154
2023-11-01,10,133
2023-11-01,11,167
2023-11-01,12,201
2023-11-01,13,218
2023-11-01,14,121
2023-11-01,15,96
2023-11-01,16,126
2023-11-01,17,110
2023-11-01,18,127
2023-11-01,19,116
2023-11-01,20,138
2023-11-01,21,137
2023-11-01,22,133
2023-11-01,23,154
2023-11-01,24,206
2023-11-01,25,239
2023-12-01,0,1429
2023-12-01,1,130
2023-12-01,2,89
2023-12-01,3,150
2023-12-01,4,138
2023-12-01,5,171
2023-12-01,6,164
2023-12-01,7,162
2023-12-01,8,163
2023-12-01,9,143
2023-12-01,10,185
2023-12-01,11,244
2023-12-01,12,261
2023-12-01,13,121
2023-12-01,14,118
2023-12-01,15,143
2023-12-01,16,139
2023-12-01,17,138
2023-12-01,18,148
2023-12-01,19,160
2023-12-01,20,162
2023-12-01,21,155
2023-12-01,22,178
2023-12-01,23,239
2023-12-01,24,262
2024-01-01,0,622
2024-01-01,1,41
2024-01-01,2,66
2024-01-01,3,52
2024-01-01,4,62
2024-01-01,5,61
2024-01-01,6,75
2024-01-01,7,81
2024-01-01,8,78
2024-01-01,9,61
2024-01-01,10,109
2024-01-01,11,129
2024-01-01,12,50
2024-01-01,13,57
2024-01-01,14,64
2024-01-01,15,64
2024-01-01,16,79
2024-01-01,17,69
2024-01-01,18,81
2024-01-01,19,80
2024-01-01,20,72
2024-01-01,21,79
2024-01-01,22,103
2024-01-01,23,119
2024-02-01,0,709
2024-02-01,1,82
2024-02-01,2,74
2024-02-01,3,92
2024-02-01,4,90
2024-02-01,5,100
2024-02-01,6,96
2024-02-01,7,84
2024-02-01,8,95
2024-02-01,9,145
2024-02-01,10,143
2024-02-01,11,81
2024-02-01,12,58
2024-02-01,13,77
2024-02-01,14,91
2024-02-01,15,69
2024-02-01,16,80
2024-02-01,17,82
2024-02-01,18,97
2024-02-01,19,87
2024-02-01,20,112
2024-02-01,21,121
2024-02-01,22,161
2024-03-01,0,881
2024-03-01,1,102
2024-03-01,2,96
2024-03-01,3,98
2024-03-01,4,120
2024-03-01,5,125
2024-03-01,6,108
2024-03-01,7,137
2024-03-01,8,160
2024-03-01,9,195
2024-03-01,10,94
2024-03-01,11,80
2024-03-01,12,113
2024-03-01,13,97
2024-03-01,14,109
2024-03-01,15,98
2024-03-01,16,127
2024-03-01,17,104
2024-03-01,18,102
2024-03-01,19,122
2024-03-01,20,178
2024-03-01,21,170
2024-04-01,0,1017
2024-04-01,1,123
2024-04-01,2,129
2024-04-01,3,123
2024-04-01,4,132
2024-04-01,5,117
2024-04-01,6,134
2024-04-01,7,201
2024-04-01,8,201
2024-04-01,9,110
2024-04-01,10,102
2024-04-01,11,116
2024-04-01,12,122
2024-04-01,13,144
2024-04-01,14,121
2024-04-01,15,144
2024-04-01,16,149
2024-04-01,17,138
2024-04-01,18,152
2024-04-01,19,202
2024-04-01,20,216
2024-05-01,0,1067
2024-05-01,1,125
2024-05-01,2,152
2024-05-01,3,159
2024-05-01,4,158
2024-05-01,5,148
2024-05-01,6,231
2024-05-01,7,229
2024-05-01,8,119
2024-05-01,9,110
2024-05-01,10,130
2024-05-01,11,141
2024-05-01,12,150
2024-05-01,13,138
2024-05-01,14,161
2024-05-01,15,153
2024-05-01,16,142
2024-05-01,17,161
2024-05-01,18,202
2024-05-01,19,238
2024-06-01,0,1128
2024-06-01,1,165
2024-06-01,2,153
2024-06-01,3,133
2024-06-01,4,158
2024-06-01,5,243
2024-06-01,6,235
2024-06-01,7,128
2024-06-01,8,117
2024-06-01,9,121
2024-06-01,10,132
2024-06-01,11,166
2024-06-01,12,148
2024-06-01,13,148
2024-06-01,14,134
2024-06-01,15,147
2024-06-01,16,182
2024-06-01,17,205
2024-06-01,18,245
2024-07-01,0,1282
2024-07-01,1,191
2024-07-01,2,168
2024-07-01,3,203
2024-07-01,4,263
2024-07-01,5,272
2024-07-01,6,131
2024-07-01,7,132
2024-07-01,8,159
2024-07-01,9,181
2024-07-01,10,171
2024-07-01,11,156
2024-07-01,12,172
2024-07-01,13,191
2024-07-01,14,158
2024-07-01,15,179
2024-07-01,16,292
2024-07-01,17,296
2024-08-01,0,1439
2024-08-01,1,196
2024-08-01,2,234
2024-08-01,3,308
2024-08-01,4,327
2024-08-01,5,169
2024-08-01,6,144
2024-08-01,7,189
2024-08-01,8,205
2024-08-01,9,194
2024-08-01,10,194
2024-08-01,11,231
2024-08-01,12,220
2024-08-01,13,189
2024-08-01,14,227
2024-08-01,15,280
2024-08-01,16,336
2024-09-01,0,1335
2024-09-01,1,231
2024-09-01,2,288
2024-09-01,3,311
2024-09-01,4,158
2024-09-01,5,143
2024-09-01,6,185
2024-09-01,7,170
2024-09-01,8,199
2024-09-01,9,191
2024-09-01,10,204
2024-09-01,11,208
2024-09-01,12,186
2024-09-01,13,218
2024-09-01,14,282
2024-09-01,15,284
2024-10-01,0,1520
2024-10-01,1,310
2024-10-01,2,344
2024-10-01,3,195
2024-10-01,4,153
2024-10-01,5,184
2024-10-01,6,191
2024-10-01,7,199
2024-10-01,8,202
2024-10-01,9,226
2024-10-01,10,228
2024-10-01,11,220
2024-10-01,12,221
2024-10-01,13,313
2024-10-01,14,355
2024-11-01,0,2215
2024-11-01,1,478
2024-11-01,2,269
2024-11-01,3,238
2024-11-01,4,269
2024-11-01,5,257
2024-11-01,6,310
2024-11-01,7,290
2024-11-01,8,295
2024-11-01,9,315
2024-11-01,10,299
2024-11-01,11,324
2024-11-01,12,445
2024-11-01,13,482
2024-12-01,0,2462
2024-12-01,1,265
2024-12-01,2,238
2024-12-01,3,287
2024-12-01,4,286
2024-12-01,5,318
2024-12-01,6,313
2024-12-01,7,344
2024-12-01,8,345
2024-12-01,9,313
2024-12-01,10,371
2024-12-01,11,498
2024-12-01,12,552
2025-01-01,0,1168
2025-01-01,1,148
2025-01-01,2,142
2025-01-01,3,166
2025-01-01,4,182
2025-01-01,5,158
2025-01-01,6,184
2025-01-01,7,187
2025-01-01,8,167
2025-01-01,9,188
2025-01-01,10,247
2025-01-01,11,270
2025-02-01,0,1164
2025-02-01,1,187
2025-02-01,2,196
2025-02-01,3,193
2025-02-01,4,192
2025-02-01,5,190
2025-02-01,6,231
2025-02-01,7,195
2025-02-01,8,214
2025-02-01,9,297
2025-02-01,10,311
2025-03-01,0,1563
2025-03-01,1,251
2025-03-01,2,275
2025-03-01,3,280
2025-03-01,4,284
2025-03-01,5,300
2025-03-01,6,274
2025-03-01,7,303
2025-03-01,8,397
2025-03-01,9,410
2025-04-01,0,1646
2025-04-01,1,321
2025-04-01,2,293
2025-04-01,3,346
2025-04-01,4,340
2025-04-01,5,319
2025-04-01,6,334
2025-04-01,7,424
2025-04-01,8,482
2025-05-01,0,1817
2025-05-01,1,330
2025-05-01,2,368
2025-05-01,3,396
2025-05-01,4,381
2025-05-01,5,421
2025-05-01,6,486
2025-05-01,7,516
2025-06-01,0,1815
2025-06-01,1,371
2025-06-01,2,392
2025-06-01,3,355
2025-06-01,4,386
2025-06-01,5,512
2025-06-01,6,554
2025-07-01,0,2084
2025-07-01,1,438
2025-07-01,2,416
2025-07-01,3,453
2025-07-01,4,585
2025-07-01,5,623
2025-08-01,0,2165
2025-08-01,1,445
2025-08-01,2,530
2025-08-01,3,655
2025-08-01,4,712
2025-09-01,0,1986
2025-09-01,1,508
2025-09-01,2,618
2025-09-01,3,643
2025-10-01,0,2375
2025-10-01,1,740
2025-10-01,2,756
2025-11-01,0,2962
2025-11-01,1,924
2025-12-01,0,2692
