cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-12-01,100.0,9.1,6.23,10.5,9.66,11.97,11.48,11.34,11.41,10.01,12.95,17.07,18.26,8.47,8.26,10.01,9.73,9.66,10.36,11.2,11.34,10.85,12.46,16.72,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,100.0,6.59,10.61,8.36,9.97,9.81,12.06,13.02,12.54,9.81,17.52,20.74,8.04,9.16,10.29,10.29,12.7,11.09,13.02,12.86,11.58,12.7,16.56,19.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,100.0,11.57,10.44,12.98,12.69,14.1,13.54,11.85,13.4,20.45,20.17,11.42,8.18,10.86,12.83,9.73,11.28,11.57,13.68,12.27,15.8,17.07,22.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,100.0,11.58,10.9,11.12,13.62,14.19,12.26,15.55,18.16,22.13,10.67,9.08,12.83,11.01,12.37,11.12,14.42,11.8,11.58,13.85,20.2,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,100.0,12.09,12.68,12.09,12.98,11.5,13.18,19.76,19.76,10.82,10.03,11.41,12.0,14.16,11.9,14.16,14.65,13.57,14.95,19.86,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,100.0,11.72,14.25,14.9,14.81,13.87,21.65,21.46,11.15,10.31,12.18,13.21,14.06,12.93,15.09,14.34,13.31,15.09,18.93,22.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,100.0,14.63,13.56,11.79,14.01,21.54,20.83,11.35,10.37,10.73,11.7,14.72,13.12,13.12,11.88,13.03,16.13,18.17,21.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,100.0,14.9,13.1,15.83,20.51,21.22,10.22,10.3,12.4,14.12,13.34,12.17,13.42,14.9,12.32,13.96,22.78,23.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,100.0,13.62,16.26,21.4,22.72,11.74,10.01,13.13,14.25,13.48,13.48,16.05,15.29,13.13,15.77,19.46,23.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,100.0,17.3,21.57,23.3,11.84,10.71,13.86,12.73,14.91,14.31,15.28,15.58,13.93,16.33,21.12,21.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,100.0,20.39,22.63,12.83,10.07,12.11,12.57,13.09,13.29,14.87,15.0,14.47,14.54,20.59,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,100.0,21.58,12.14,10.74,12.14,11.6,14.0,13.09,13.32,14.22,13.5,14.63,20.09,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,100.0,10.76,9.67,11.66,11.62,12.92,12.71,13.97,14.01,12.71,15.07,20.23,22.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,100.0,12.67,12.16,14.21,15.58,13.53,15.75,16.01,14.3,16.1,21.15,23.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,100.0,16.07,16.84,16.58,16.49,16.32,19.85,16.75,18.38,25.52,26.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,100.0,16.06,17.59,17.91,18.17,19.19,17.53,19.39,25.4,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,100.0,19.5,17.8,21.02,20.66,19.38,20.29,25.76,29.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,100.0,18.16,20.25,21.79,20.97,23.17,26.75,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,100.0,20.44,21.6,19.56,21.27,28.21,30.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,100.0,21.02,19.96,21.74,28.07,29.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,100.0,20.55,24.48,30.25,32.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,100.0,25.58,31.12,32.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,100.0,31.16,31.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,100.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
