product_id,product_name,category,sub_category,brand,revenue,gross_profit,units_sold,average_discount_pct,profit_margin_pct,revenue_rank,category_revenue_rank
P000703,Orbit Laptops 0703,Electronics,Laptops,Orbit,512493.38,91226.73,724,0.07,17.8,65,53
P000227,PulseTech Phones 0227,Electronics,Phones,PulseTech,511309.53,145399.41,879,0.07,28.44,66,54
P000551,Kiva Furniture 0551,Home & Kitchen,Furniture,Kiva,508245.37,185052.43,742,0.06,36.41,67,13
P000474,Nexora Laptops 0474,Electronics,Laptops,Nexora,492769.54,139061.17,489,0.07,28.22,68,55
P000047,Elm & Co Furniture 0047,Home & Kitchen,Furniture,Elm & Co,490249.14,230052.58,1768,0.07,46.93,69,14
P000368,VoltFit Cycling 0368,Sports,Cycling,VoltFit,477099.2,238605.34,814,0.07,50.01,70,1
P000205,Orbit Cameras 0205,Electronics,Cameras,Orbit,470041.37,164540.09,434,0.07,35.01,71,56
P000273,Aster Cameras 0273,Electronics,Cameras,Aster,467256.32,75671.27,673,0.07,16.19,72,57
P000513,Orbit Laptops 0513,Electronics,Laptops,Orbit,466850.08,120171.56,458,0.07,25.74,73,58
P000510,Aster Phones 0510,Electronics,Phones,Aster,461692.41,125300.31,726,0.07,27.14,74,59
P000217,ZenByte Cameras 0217,Electronics,Cameras,ZenByte,457295.26,93945.46,990,0.07,20.54,75,60
P000098,ZenByte Cameras 0098,Electronics,Cameras,ZenByte,445765.89,142237.56,861,0.07,31.91,76,61
P000744,Nexora Cameras 0744,Electronics,Cameras,Nexora,445080.19,161057.39,508,0.07,36.19,77,62
P000332,Walkway Footwear 0332,Fashion,Footwear,Walkway,442611.82,235225.72,2358,0.08,53.14,78,1
P000204,ZenByte Phones 0204,Electronics,Phones,ZenByte,432490.79,72550.23,532,0.07,16.77,79,63
P000794,PulseTech Phones 0794,Electronics,Phones,PulseTech,424277.51,136090.07,456,0.07,32.08,80,64
P000389,ZenByte Cameras 0389,Electronics,Cameras,ZenByte,421921.52,90325.3,1226,0.08,21.41,81,65
P000362,ZenByte Cameras 0362,Electronics,Cameras,ZenByte,418682.99,127864.43,768,0.07,30.54,82,66
P000595,Aster Laptops 0595,Electronics,Laptops,Aster,417995.02,158713.06,476,0.07,37.97,83,67
P000731,Walkway Bags 0731,Fashion,Bags,Walkway,412929.44,217830.94,2050,0.08,52.75,84,2
P000155,Nexora Phones 0155,Electronics,Phones,Nexora,410983.51,100980.08,437,0.08,24.57,85,68
P000588,Walkway Bags 0588,Fashion,Bags,Walkway,410609.9,190961.16,2242,0.09,46.51,86,3
P000451,ZenByte Laptops 0451,Electronics,Laptops,ZenByte,401737.25,84775.01,606,0.07,21.1,87,69
P000519,PulseTech Cameras 0519,Electronics,Cameras,PulseTech,398732.65,109243.15,450,0.07,27.4,88,70
P000486,BrightNest Furniture 0486,Home & Kitchen,Furniture,BrightNest,390855.1,120572.66,452,0.07,30.85,89,15
P000028,ZenByte Phones 0028,Electronics,Phones,ZenByte,390300.76,107237.2,421,0.07,27.48,90,71
P000249,BrightNest Furniture 0249,Home & Kitchen,Furniture,BrightNest,389244.69,186674.49,828,0.07,47.96,91,16
P000313,Luma Bags 0313,Fashion,Bags,Luma,388340.4,179091.36,4004,0.08,46.12,92,4
P000109,PulseTech Phones 0109,Electronics,Phones,PulseTech,377563.47,100941.71,608,0.07,26.74,93,72
P000385,Kiva Appliances 0385,Home & Kitchen,Appliances,Kiva,375431.33,103635.73,713,0.07,27.6,94,17
P000112,Walkway Bags 0112,Fashion,Bags,Walkway,371124.51,193948.39,1433,0.09,52.26,95,5
P000180,MotionLab Cycling 0180,Sports,Cycling,MotionLab,366553.08,159901.53,597,0.07,43.62,96,2
P000678,BrightNest Appliances 0678,Home & Kitchen,Appliances,BrightNest,366198.21,111955.12,1333,0.06,30.57,97,18
P000027,Kiva Furniture 0027,Home & Kitchen,Furniture,Kiva,362164.92,152887.46,631,0.07,42.21,98,19
P000193,ZenByte Audio 0193,Electronics,Audio,ZenByte,344716.84,81467.91,1129,0.07,23.63,99,73
P000392,Nexora Phones 0392,Electronics,Phones,Nexora,339175.86,111552.06,779,0.07,32.89,100,74
P000740,Homely Furniture 0740,Home & Kitchen,Furniture,Homely,337650.84,162056.24,778,0.07,48.0,101,20
P000616,Stride Cycling 0616,Sports,Cycling,Stride,337562.57,104329.1,669,0.07,30.91,102,3
P000115,Luma Bags 0115,Fashion,Bags,Luma,330918.73,163339.85,1652,0.09,49.36,103,6
P000469,Nexora Laptops 0469,Electronics,Laptops,Nexora,330547.3,74007.78,272,0.07,22.39,104,75
P000150,Nexora Audio 0150,Electronics,Audio,Nexora,317151.55,54835.2,1013,0.07,17.29,105,76
P000057,BrightNest Furniture 0057,Home & Kitchen,Furniture,BrightNest,312419.39,146857.07,867,0.07,47.01,106,21
P000331,ArenaPro Cycling 0331,Sports,Cycling,ArenaPro,309762.88,150319.95,1019,0.07,48.53,107,4
P000609,MotionLab Cycling 0609,Sports,Cycling,MotionLab,306650.08,116826.02,874,0.07,38.1,108,5
P000231,Aster Cameras 0231,Electronics,Cameras,Aster,300900.61,72192.97,329,0.07,23.99,109,77
P000533,CraftHaus Appliances 0533,Home & Kitchen,Appliances,CraftHaus,300027.73,153115.79,1607,0.07,51.03,110,22
P000610,CraftHaus Furniture 0610,Home & Kitchen,Furniture,CraftHaus,299183.66,142146.78,728,0.07,47.51,111,23
P000031,TrailPeak Fitness 0031,Sports,Fitness,TrailPeak,292980.19,140119.99,1070,0.07,47.83,112,6
P000384,Elm & Co Furniture 0384,Home & Kitchen,Furniture,Elm & Co,292351.25,158070.21,316,0.08,54.07,113,24
P000531,MotionLab Cycling 0531,Sports,Cycling,MotionLab,291508.17,130072.57,554,0.06,44.62,114,7
P000140,PulseTech Audio 0140,Electronics,Audio,PulseTech,290981.34,106087.39,1201,0.07,36.46,115,78
P000292,Aster Cameras 0292,Electronics,Cameras,Private Label,290709.69,51415.39,334,0.07,17.69,116,79
P000261,Orbit Phones 0261,Electronics,Phones,Orbit,286902.07,82932.64,569,0.07,28.91,117,80
P000443,TrailPeak Cycling 0443,Sports,Cycling,TrailPeak,283351.83,147594.61,911,0.07,52.09,118,8
P000062,BrightNest Furniture 0062,Home & Kitchen,Furniture,BrightNest,263600.6,71242.07,819,0.07,27.03,119,25
P000111,Elm & Co Cookware 0111,Home & Kitchen,Cookware,Elm & Co,262672.23,136739.03,2680,0.07,52.06,120,26
P000619,PulseTech Phones 0619,Electronics,Phones,PulseTech,261126.05,75417.67,286,0.06,28.88,121,81
P000264,Aster Laptops 0264,Electronics,Laptops,Aster,260923.45,94927.62,299,0.07,36.38,122,82
P000276,Kiva Furniture 0276,Home & Kitchen,Furniture,Kiva,260195.63,128301.43,569,0.07,49.31,123,27
P000522,Elm & Co Cookware 0522,Home & Kitchen,Cookware,Elm & Co,259339.83,89122.23,2235,0.07,34.37,124,28
P000745,CraftHaus Furniture 0745,Home & Kitchen,Furniture,CraftHaus,250736.85,63727.89,664,0.07,25.42,125,29
P000077,Walkway Bags 0077,Fashion,Bags,Walkway,250650.88,112785.88,2020,0.09,45.0,126,7
P000355,Elm & Co Cookware 0355,Home & Kitchen,Cookware,Elm & Co,250640.29,88740.69,2540,0.07,35.41,127,30
P000523,Nexora Cameras 0523,Electronics,Cameras,Nexora,247761.91,71800.75,421,0.08,28.98,128,83
P000653,Stride Cycling 0653,Sports,Cycling,Stride,247472.48,86777.0,506,0.07,35.07,129,9
P000742,PulseTech Phones 0742,Electronics,Phones,PulseTech,240675.26,83858.76,475,0.07,34.84,130,84
P000359,Elm & Co Appliances 0359,Home & Kitchen,Appliances,Elm & Co,240129.77,112396.97,598,0.07,46.81,131,31
P000565,VoltFit Fitness 0565,Sports,Fitness,VoltFit,233004.53,66792.23,905,0.07,28.67,132,10
P000141,Homely Furniture 0141,Home & Kitchen,Furniture,Homely,232942.25,63826.82,643,0.07,27.4,133,32
P000373,Kiva Appliances 0373,Home & Kitchen,Appliances,Kiva,231808.85,85768.55,630,0.07,37.0,134,33
P000525,Nexora Cameras 0525,Electronics,Cameras,Nexora,231804.66,68831.85,469,0.08,29.69,135,85
P000748,Elm & Co Furniture 0748,Home & Kitchen,Furniture,Elm & Co,229577.12,95556.41,321,0.07,41.62,136,34
P000069,ZenByte Cameras 0069,Electronics,Cameras,ZenByte,222954.78,38615.08,387,0.07,17.32,137,86
P000183,BrightNest Appliances 0183,Home & Kitchen,Appliances,BrightNest,222889.95,94872.15,906,0.07,42.56,138,35
P000108,UrbanThread Footwear 0108,Fashion,Footwear,UrbanThread,219479.72,123973.3,1301,0.09,56.49,139,8
P000015,BrightNest Furniture 0015,Home & Kitchen,Furniture,BrightNest,219309.28,113917.84,462,0.07,51.94,140,36
P000300,ArenaPro Outdoor 0300,Sports,Outdoor,ArenaPro,217425.97,71730.51,502,0.07,32.99,141,11
P000084,Modeva Bags 0084,Fashion,Bags,Modeva,216738.0,125634.75,1295,0.08,57.97,142,9
P000650,Aster Cameras 0650,Electronics,Cameras,Aster,215360.54,78386.89,337,0.07,36.4,143,87
P000797,Aster Phones 0797,Electronics,Phones,Aster,213872.01,71057.16,435,0.07,33.22,144,88
P000649,TrailPeak Cycling 0649,Sports,Cycling,TrailPeak,212468.65,103772.71,393,0.07,48.84,145,12
P000318,TrailPeak Outdoor 0318,Sports,Outdoor,TrailPeak,210393.8,64958.21,549,0.06,30.87,146,13
P000258,PulseTech Audio 0258,Electronics,Audio,PulseTech,209414.73,40634.73,1000,0.07,19.4,147,89
P000664,Nexora Audio 0664,Electronics,Audio,Nexora,208815.06,74728.89,717,0.07,35.79,148,90
P000240,Orbit Phones 0240,Electronics,Phones,Orbit,205141.23,70058.44,479,0.06,34.15,149,91
P000721,Kiva Cookware 0721,Home & Kitchen,Cookware,Kiva,204915.51,106303.01,1150,0.07,51.88,150,37
P000718,ZenByte Phones 0718,Electronics,Phones,ZenByte,204032.0,36572.18,487,0.07,17.92,151,92
P000738,Luma Women Apparel 0738,Fashion,Women Apparel,Luma,201319.94,82246.02,1568,0.09,40.85,152,10
P000283,Modeva Women Apparel 0283,Fashion,Women Apparel,Modeva,200443.24,69605.44,1497,0.09,34.73,153,11
P000648,Elm & Co Furniture 0648,Home & Kitchen,Furniture,Elm & Co,199020.69,63590.23,586,0.07,31.95,154,38
P000560,Homely Furniture 0560,Home & Kitchen,Furniture,Homely,192030.76,49822.39,423,0.07,25.95,155,39
P000175,UrbanThread Footwear 0175,Fashion,Footwear,UrbanThread,189297.54,98921.94,1176,0.08,52.26,156,12
P000268,Aster Cameras 0268,Electronics,Cameras,Aster,186655.65,38580.81,239,0.06,20.67,157,93
P000501,Stride Cycling 0501,Sports,Cycling,Stride,180972.16,73064.85,349,0.07,40.37,158,14
P000526,Homely Cookware 0526,Home & Kitchen,Cookware,Homely,178293.56,65742.44,1188,0.07,36.87,159,40
P000424,PulseTech Accessories 0424,Electronics,Accessories,PulseTech,178180.21,49507.47,1486,0.07,27.79,160,94
P000161,Nexora Audio 0161,Electronics,Audio,Nexora,177309.47,49740.52,995,0.07,28.05,161,95
P000136,Aster Audio 0136,Electronics,Audio,Aster,173341.64,47163.28,781,0.07,27.21,162,96
P000581,BrightNest Furniture 0581,Home & Kitchen,Furniture,BrightNest,171567.11,77699.51,345,0.06,45.29,163,41
P000395,Orbit Phones 0395,Electronics,Phones,Orbit,171523.33,41364.33,365,0.07,24.12,164,97
P000022,BrightNest Appliances 0022,Home & Kitchen,Appliances,BrightNest,171435.84,47494.88,1144,0.07,27.7,165,42
P000333,MotionLab Cycling 0333,Sports,Cycling,MotionLab,164368.88,62396.1,559,0.07,37.96,166,15
P000446,MotionLab Cycling 0446,Sports,Cycling,MotionLab,163791.13,52024.93,534,0.07,31.76,167,16
P000172,Homely Appliances 0172,Home & Kitchen,Appliances,Homely,163394.11,55902.67,1526,0.07,34.21,168,43
P000087,MotionLab Cycling 0087,Sports,Cycling,MotionLab,159909.35,41607.53,329,0.07,26.02,169,17
P000593,Walkway Women Apparel 0593,Fashion,Women Apparel,Walkway,158674.88,92217.58,1090,0.09,58.12,170,13
P000705,NorthStitch Footwear 0705,Fashion,Footwear,NorthStitch,157978.55,76462.43,1113,0.08,48.4,171,14
P000081,VoltFit Cycling 0081,Sports,Cycling,VoltFit,153537.3,54012.26,328,0.07,35.18,172,18
P000250,Kiva Appliances 0250,Home & Kitchen,Appliances,Kiva,153102.49,71464.42,669,0.07,46.68,173,44
P000263,Modeva Footwear 0263,Fashion,Footwear,Modeva,151690.32,80486.87,1205,0.08,53.06,174,15
P000243,Modeva Bags 0243,Fashion,Bags,Modeva,151216.33,86880.83,1115,0.08,57.45,175,16
P000290,Nexora Phones 0290,Electronics,Phones,Nexora,149727.68,29310.98,435,0.06,19.58,176,98
P000438,BrightNest Appliances 0438,Home & Kitchen,Appliances,BrightNest,149414.67,55033.5,813,0.07,36.83,177,45
P000576,Homely Decor 0576,Home & Kitchen,Decor,Homely,149220.31,41601.19,1141,0.07,27.88,178,46
P000394,TrailPeak Fitness 0394,Sports,Fitness,TrailPeak,146839.95,64030.89,633,0.07,43.61,179,19
P000596,NorthStitch Bags 0596,Fashion,Bags,NorthStitch,145992.62,83074.46,1268,0.09,56.9,180,17
P000514,UrbanThread Bags 0514,Fashion,Bags,UrbanThread,145791.09,86869.59,1650,0.09,59.58,181,18
P000658,Walkway Women Apparel 0658,Fashion,Women Apparel,Walkway,144637.41,87596.25,948,0.08,60.56,182,19
P000043,VoltFit Outdoor 0043,Sports,Outdoor,VoltFit,144562.62,54185.13,399,0.07,37.48,183,20
P000156,Stride Cycling 0156,Sports,Cycling,Stride,144555.36,36970.28,614,0.07,25.58,184,21
P000416,UrbanThread Bags 0416,Fashion,Bags,UrbanThread,144017.45,65240.75,1110,0.09,45.3,185,20
P000158,TrailPeak Cycling 0158,Sports,Cycling,TrailPeak,143817.91,53621.62,423,0.07,37.28,186,22
P000319,Modeva Men Apparel 0319,Fashion,Men Apparel,Modeva,143666.32,82824.88,1656,0.08,57.65,187,21
P000074,NorthStitch Accessories 0074,Fashion,Accessories,NorthStitch,142707.39,56864.49,2277,0.08,39.85,188,22
P000737,UrbanThread Women Apparel 0737,Fashion,Women Apparel,UrbanThread,142167.43,75221.31,1121,0.09,52.91,189,23
P000255,Luma Footwear 0255,Fashion,Footwear,Luma,141911.04,54143.88,762,0.09,38.15,190,24
P000726,Orbit Audio 0726,Electronics,Audio,Orbit,139869.73,31210.83,595,0.07,22.31,191,99
P000534,MotionLab Outdoor 0534,Sports,Outdoor,MotionLab,139424.21,42684.71,533,0.07,30.61,192,23
P000634,Elm & Co Appliances 0634,Home & Kitchen,Appliances,Elm & Co,138957.73,54168.93,394,0.07,38.98,193,47
P000200,Luma Men Apparel 0200,Fashion,Men Apparel,Luma,137915.16,68927.15,1613,0.09,49.98,194,25
P000039,Luma Bags 0039,Fashion,Bags,Luma,137162.44,82046.16,556,0.08,59.82,195,26
P000398,Walkway Bags 0398,Fashion,Bags,Walkway,136692.16,81539.46,1181,0.09,59.65,196,27
P000558,Elm & Co Appliances 0558,Home & Kitchen,Appliances,Elm & Co,136357.21,53765.19,371,0.06,39.43,197,48
P000747,UrbanThread Women Apparel 0747,Fashion,Women Apparel,UrbanThread,136087.97,68652.89,1219,0.09,50.45,198,28
P000352,Walkway Men Apparel 0352,Fashion,Men Apparel,Walkway,136033.57,43599.81,1156,0.09,32.05,199,29
P000467,TrailPeak Outdoor 0467,Sports,Outdoor,TrailPeak,135180.01,69765.53,472,0.06,51.61,200,24
P000326,MotionLab Outdoor 0326,Sports,Outdoor,MotionLab,134711.75,55960.1,445,0.07,41.54,201,25
P000665,Walkway Footwear 0665,Fashion,Footwear,Walkway,134570.48,49653.7,611,0.08,36.9,202,30
P000734,Homely Storage 0734,Home & Kitchen,Storage,Homely,133895.92,49866.52,1482,0.07,37.24,203,49
P000061,Stride Cycling 0061,Sports,Cycling,Stride,133328.77,42750.73,238,0.08,32.06,204,26
P000119,BrightNest Furniture 0119,Home & Kitchen,Furniture,BrightNest,133313.52,71026.02,550,0.07,53.28,205,50
P000337,PulseTech Phones 0337,Electronics,Phones,PulseTech,129184.58,42448.42,344,0.07,32.86,206,100
P000159,VoltFit Outdoor 0159,Sports,Outdoor,VoltFit,128943.93,63115.77,684,0.07,48.95,207,27
P000799,ArenaPro Fitness 0799,Sports,Fitness,ArenaPro,127921.38,48769.7,992,0.07,38.12,208,28
P000716,NorthStitch Bags 0716,Fashion,Bags,NorthStitch,127266.38,48117.17,1127,0.09,37.81,209,31
P000169,Luma Footwear 0169,Fashion,Footwear,Luma,125864.36,55399.46,655,0.09,44.02,210,32
P000448,Auren Skincare 0448,Beauty,Skincare,Auren,125851.01,47929.97,1788,0.08,38.08,211,1
P000701,Modeva Men Apparel 0701,Fashion,Men Apparel,Modeva,125331.13,71995.93,939,0.08,57.44,212,33
P000163,Modeva Bags 0163,Fashion,Bags,Modeva,124733.3,60665.52,1087,0.08,48.64,213,34
P000125,Nexora Audio 0125,Electronics,Audio,Nexora,124050.56,32239.68,476,0.08,25.99,214,101
P000445,Luma Footwear 0445,Fashion,Footwear,Luma,123417.68,57638.36,642,0.09,46.7,215,35
P000272,Modeva Footwear 0272,Fashion,Footwear,Modeva,123404.35,68228.47,731,0.09,55.29,216,36
P000516,UrbanThread Men Apparel 0516,Fashion,Men Apparel,UrbanThread,123004.92,45188.42,1030,0.09,36.74,217,37
P000223,MotionLab Fitness 0223,Sports,Fitness,MotionLab,121708.66,40172.77,1201,0.07,33.01,218,29
P000419,Modeva Footwear 0419,Fashion,Footwear,Modeva,121281.88,39365.47,1049,0.09,32.46,219,38
P000437,Nexora Audio 0437,Electronics,Audio,Nexora,121107.08,32130.2,972,0.07,26.53,220,102
P000270,Nexora Audio 0270,Electronics,Audio,Nexora,120995.48,34422.65,659,0.07,28.45,221,103
P000546,Elm & Co Cookware 0546,Home & Kitchen,Cookware,Elm & Co,120987.34,42178.47,1141,0.07,34.86,222,51
P000556,Walkway Men Apparel 0556,Fashion,Men Apparel,Walkway,120672.14,53621.1,1048,0.08,44.44,223,39
P000473,Aster Accessories 0473,Electronics,Accessories,Aster,120569.07,21646.27,892,0.06,17.95,224,104
P000702,Luma Footwear 0702,Fashion,Footwear,Luma,120184.36,51276.08,1142,0.08,42.66,225,40
P000211,Stride Fitness 0211,Sports,Fitness,Stride,119943.68,64471.38,710,0.07,53.75,226,30
P000366,Homely Cookware 0366,Home & Kitchen,Cookware,Homely,116432.79,54488.27,1012,0.07,46.8,227,52
P000335,Aster Accessories 0335,Electronics,Accessories,Aster,116043.57,27204.45,1182,0.07,23.44,228,105
P000429,ZenByte Audio 0429,Electronics,Audio,ZenByte,115794.39,34578.23,776,0.07,29.86,229,106
P000792,Elm & Co Decor 0792,Home & Kitchen,Decor,Elm & Co,115221.74,61785.74,1200,0.07,53.62,230,53
P000093,BrightNest Appliances 0093,Home & Kitchen,Appliances,BrightNest,114869.91,40971.51,410,0.07,35.67,231,54
P000196,UrbanThread Bags 0196,Fashion,Bags,UrbanThread,114522.88,60754.86,653,0.08,53.05,232,41
P000798,UrbanThread Bags 0798,Fashion,Bags,UrbanThread,113495.48,46988.91,767,0.08,41.4,233,42
P000126,Kiva Decor 0126,Home & Kitchen,Decor,Kiva,113390.56,49947.7,1497,0.07,44.05,234,55
P000287,Nexora Cameras 0287,Electronics,Cameras,Nexora,112871.67,38416.77,390,0.07,34.04,235,107
P000221,Walkway Women Apparel 0221,Fashion,Women Apparel,Walkway,111464.98,62778.86,1106,0.09,56.32,236,43
P000612,ArenaPro Team Sports 0612,Sports,Team Sports,ArenaPro,111295.19,46595.75,1157,0.07,41.87,237,31
P000251,VoltFit Outdoor 0251,Sports,Outdoor,VoltFit,111073.16,51071.68,506,0.07,45.98,238,32
P000736,ArenaPro Outdoor 0736,Sports,Outdoor,ArenaPro,110226.52,57062.92,420,0.06,51.77,239,33
P000771,Modeva Women Apparel 0771,Fashion,Women Apparel,Modeva,110087.5,45058.76,1513,0.08,40.93,240,44
P000691,Walkway Bags 0691,Fashion,Bags,Walkway,109578.67,67260.01,823,0.08,61.38,241,45
P000415,ZenByte Audio 0415,Electronics,Audio,ZenByte,109171.36,17301.84,328,0.07,15.85,242,108
P000208,MotionLab Cycling 0208,Sports,Cycling,MotionLab,108992.76,47279.94,298,0.07,43.38,243,34
