order_item_id,order_id,product_id,quantity,price_per_unit,discount
OI000000364,O00000172,P000717,1,85.83,0.1
OI000000365,O00000173,P000675,2,94.78,0.1
OI000000366,O00000174,P000282,1,60.43,0.05
OI000000367,O00000175,P000432,1,52.85,0.0
OI000000368,O00000175,P000547,1,112.4,0.05
OI000000369,O00000176,P000209,1,1061.4,0.05
OI000000370,O00000176,P000175,1,171.89,0.1
OI000000371,O00000176,P000731,1,222.43,0.3
OI000000372,O00000176,P000760,1,119.85,0.05
OI000000373,O00000177,P000429,1,160.08,0.1
OI000000374,O00000178,P000109,1,653.97,0.0
OI000000375,O00000179,P000556,1,124.78,0.05
OI000000376,O00000179,P000590,1,808.87,0.0
OI000000377,O00000180,P000553,1,47.77,0.1
OI000000378,O00000181,P000577,2,99.04,0.15
OI000000379,O00000182,P000010,1,162.73,0.05
OI000000380,O00000182,P000314,1,60.5,0.05
OI000000381,O00000182,P000581,2,524.43,0.0
OI000000382,O00000183,P000517,1,32.56,0.05
OI000000383,O00000183,P000009,1,25.74,0.0
OI000000384,O00000183,P000562,2,147.32,0.0
OI000000385,O00000184,P000111,3,104.52,0.0
OI000000386,O00000184,P000302,1,1194.01,0.0
OI000000387,O00000185,P000024,1,83.76,0.15
OI000000388,O00000185,P000768,1,1920.16,0.25
OI000000389,O00000186,P000559,1,18.64,0.1
OI000000390,O00000187,P000020,1,45.91,0.2
OI000000391,O00000188,P000731,2,223.69,0.05
OI000000392,O00000188,P000616,1,553.51,0.1
OI000000393,O00000188,P000082,2,20.72,0.0
OI000000394,O00000188,P000051,1,100.35,0.0
OI000000395,O00000188,P000404,3,359.98,0.1
OI000000396,O00000189,P000281,1,407.99,0.0
OI000000397,O00000190,P000355,3,108.21,0.15
OI000000398,O00000191,P000726,1,243.5,0.0
OI000000399,O00000191,P000402,3,14.05,0.1
OI000000400,O00000191,P000686,1,124.93,0.1
OI000000401,O00000192,P000155,1,1032.93,0.05
OI000000402,O00000192,P000451,1,694.39,0.1
OI000000403,O00000193,P000359,1,435.1,0.2
OI000000404,O00000193,P000711,2,23.26,0.05
OI000000405,O00000193,P000653,1,502.84,0.1
OI000000406,O00000194,P000017,1,81.48,0.1
OI000000407,O00000194,P000271,2,970.29,0.0
OI000000408,O00000194,P000465,3,19.42,0.2
OI000000409,O00000195,P000313,2,106.65,0.1
OI000000410,O00000195,P000588,1,202.77,0.2
OI000000411,O00000195,P000729,1,73.84,0.0
OI000000412,O00000196,P000058,3,50.52,0.2
OI000000413,O00000197,P000615,1,64.23,0.15
OI000000414,O00000198,P000248,1,472.25,0.05
OI000000415,O00000199,P000382,1,29.21,0.05
OI000000416,O00000200,P000436,3,111.79,0.0
OI000000417,O00000201,P000767,4,98.73,0.05
OI000000418,O00000201,P000407,1,126.61,0.1
OI000000419,O00000201,P000536,1,113.05,0.2
OI000000420,O00000201,P000730,3,190.65,0.1
OI000000421,O00000202,P000462,1,642.15,0.0
OI000000422,O00000202,P000546,1,118.92,0.0
OI000000423,O00000203,P000479,1,131.34,0.0
OI000000424,O00000204,P000463,1,22.88,0.05
OI000000425,O00000204,P000304,1,144.35,0.0
OI000000426,O00000205,P000262,2,45.35,0.15
OI000000427,O00000206,P000082,2,21.09,0.15
OI000000428,O00000207,P000686,1,121.52,0.2
OI000000429,O00000207,P000513,2,1058.47,0.1
OI000000430,O00000207,P000240,2,474.93,0.15
OI000000431,O00000208,P000086,1,1775.2,0.1
OI000000432,O00000209,P000488,4,124.72,0.1
OI000000433,O00000210,P000595,1,882.86,0.1
OI000000434,O00000210,P000088,1,64.39,0.05
OI000000435,O00000211,P000089,2,153.26,0.1
OI000000436,O00000211,P000302,1,1199.11,0.05
OI000000437,O00000211,P000105,3,52.53,0.0
OI000000438,O00000211,P000705,1,158.23,0.05
OI000000439,O00000212,P000734,1,97.56,0.0
OI000000440,O00000213,P000746,2,119.57,0.0
OI000000441,O00000213,P000698,2,97.75,0.15
OI000000442,O00000213,P000276,2,483.09,0.0
OI000000443,O00000213,P000192,2,193.12,0.1
OI000000444,O00000214,P000107,1,919.13,0.05
OI000000445,O00000214,P000288,1,94.72,0.0
OI000000446,O00000214,P000266,1,60.71,0.0
OI000000447,O00000214,P000696,1,15.11,0.05
OI000000448,O00000214,P000425,2,83.73,0.05
OI000000449,O00000215,P000077,3,135.95,0.0
OI000000450,O00000216,P000035,3,101.06,0.0
OI000000451,O00000216,P000140,1,259.33,0.05
OI000000452,O00000217,P000655,1,42.28,0.0
OI000000453,O00000217,P000608,1,59.87,0.25
OI000000454,O00000218,P000163,1,123.63,0.05
OI000000455,O00000218,P000418,1,18.93,0.1
OI000000456,O00000218,P000394,1,243.59,0.1
OI000000457,O00000218,P000522,2,123.81,0.0
OI000000458,O00000219,P000258,1,229.87,0.0
OI000000459,O00000219,P000629,2,67.05,0.15
OI000000460,O00000220,P000064,2,22.67,0.05
OI000000461,O00000220,P000394,1,246.87,0.0
OI000000462,O00000221,P000031,1,286.24,0.1
OI000000463,O00000222,P000248,1,482.06,0.0
OI000000464,O00000222,P000735,1,286.04,0.1
OI000000465,O00000222,P000034,1,80.18,0.05
OI000000466,O00000223,P000740,1,480.29,0.0
OI000000467,O00000223,P000586,1,16.51,0.05
OI000000468,O00000224,P000332,2,202.29,0.0
OI000000469,O00000224,P000157,2,101.85,0.1
OI000000470,O00000225,P000086,1,1781.6,0.05
OI000000471,O00000225,P000422,1,595.33,0.0
OI000000472,O00000225,P000301,1,32.05,0.05
OI000000473,O00000226,P000156,2,254.53,0.0
OI000000474,O00000226,P000679,2,797.95,0.05
OI000000475,O00000227,P000635,1,832.35,0.1
OI000000476,O00000227,P000796,1,54.0,0.15
OI000000477,O00000227,P000542,1,136.44,0.2
OI000000478,O00000227,P000200,1,97.91,0.05
OI000000479,O00000228,P000353,2,69.99,0.05
OI000000480,O00000228,P000635,1,852.69,0.15
OI000000481,O00000228,P000159,1,198.07,0.05
OI000000482,O00000228,P000559,1,18.28,0.1
OI000000483,O00000228,P000272,1,192.91,0.05
OI000000484,O00000229,P000382,2,30.85,0.05
OI000000485,O00000229,P000169,3,213.28,0.05
OI000000486,O00000229,P000626,1,547.41,0.1
OI000000487,O00000229,P000227,1,638.2,0.1
OI000000488,O00000230,P000429,1,166.35,0.0
OI000000489,O00000231,P000114,1,38.36,0.0
OI000000490,O00000231,P000248,1,500.27,0.0
OI000000491,O00000231,P000243,1,144.96,0.05
OI000000492,O00000231,P000227,1,633.35,0.1
OI000000493,O00000232,P000664,2,320.79,0.0
OI000000494,O00000232,P000218,1,127.43,0.05
OI000000495,O00000233,P000309,1,65.25,0.05
OI000000496,O00000234,P000635,1,831.01,0.15
OI000000497,O00000234,P000454,1,39.97,0.0
OI000000498,O00000235,P000583,2,477.32,0.0
OI000000499,O00000235,P000716,1,122.41,0.0
OI000000500,O00000235,P000504,1,133.92,0.0
OI000000501,O00000235,P000419,1,131.51,0.0
OI000000502,O00000236,P000314,1,59.13,0.15
OI000000503,O00000236,P000731,1,214.89,0.05
OI000000504,O00000237,P000698,3,96.65,0.1
OI000000505,O00000237,P000507,1,71.23,0.0
OI000000506,O00000237,P000088,1,60.84,0.0
OI000000507,O00000238,P000356,2,87.47,0.15
OI000000508,O00000238,P000679,1,809.39,0.05
OI000000509,O00000239,P000623,1,12.12,0.0
OI000000510,O00000240,P000458,1,86.34,0.0
OI000000511,O00000240,P000253,1,104.41,0.05
OI000000512,O00000240,P000276,1,494.48,0.0
OI000000513,O00000241,P000209,1,1142.71,0.2
OI000000514,O00000242,P000410,1,23.27,0.0
OI000000515,O00000242,P000274,1,60.36,0.2
OI000000516,O00000242,P000791,1,131.08,0.15
OI000000517,O00000243,P000421,2,74.44,0.1
OI000000518,O00000243,P000142,2,43.32,0.0
OI000000519,O00000244,P000702,1,107.53,0.05
OI000000520,O00000245,P000507,1,69.53,0.1
OI000000521,O00000246,P000661,3,74.9,0.1
OI000000522,O00000246,P000629,1,70.38,0.05
OI000000523,O00000247,P000421,2,75.16,0.0
OI000000524,O00000247,P000097,1,97.99,0.0
OI000000525,O00000247,P000670,3,55.56,0.2
OI000000526,O00000247,P000681,1,601.56,0.0
OI000000527,O00000248,P000713,2,22.99,0.0
OI000000528,O00000248,P000199,1,56.65,0.25
OI000000529,O00000248,P000283,4,150.25,0.15
OI000000530,O00000249,P000681,1,599.15,0.0
OI000000531,O00000250,P000540,1,39.12,0.05
OI000000532,O00000250,P000074,1,67.56,0.0
OI000000533,O00000251,P000223,1,109.24,0.0
OI000000534,O00000251,P000099,3,185.0,0.2
OI000000535,O00000251,P000445,1,210.37,0.05
OI000000536,O00000252,P000251,1,240.55,0.0
OI000000537,O00000253,P000250,1,241.53,0.0
OI000000538,O00000254,P000392,2,483.33,0.0
OI000000539,O00000254,P000557,1,34.97,0.0
OI000000540,O00000255,P000610,1,430.9,0.1
OI000000541,O00000255,P000355,1,110.79,0.0
OI000000542,O00000256,P000058,1,50.05,0.2
OI000000543,O00000256,P000554,1,131.89,0.2
OI000000544,O00000257,P000283,2,143.97,0.0
OI000000545,O00000257,P000546,1,118.87,0.05
OI000000546,O00000257,P000737,1,135.87,0.0
OI000000547,O00000258,P000023,2,45.8,0.0
OI000000548,O00000258,P000402,3,14.88,0.0
OI000000549,O00000259,P000022,4,159.64,0.05
OI000000550,O00000259,P000487,2,516.27,0.05
OI000000551,O00000260,P000131,1,78.19,0.15
OI000000552,O00000260,P000453,1,195.24,0.0
OI000000553,O00000261,P000649,1,605.31,0.0
OI000000554,O00000262,P000519,2,968.61,0.1
OI000000555,O00000262,P000494,1,140.29,0.2
OI000000556,O00000263,P000217,4,489.74,0.15
