order_id,customer_id,order_date,shipment_date,payment_method,order_status,total_amount
O00000027,C0000009,2024-10-02,2024-10-07,Credit Card,Completed,1295.21
O00000028,C0000010,2024-04-02,2024-04-05,Credit Card,Completed,1328.88
O00000029,C0000010,2024-05-18,2024-05-24,Credit Card,Completed,78.83
O00000030,C0000010,2024-06-10,2024-06-12,Credit Card,Shipped,2472.25
O00000031,C0000010,2024-11-05,2024-11-09,Credit Card,Completed,242.48
O00000032,C0000010,2024-12-19,2024-12-24,Credit Card,Completed,1485.79
O00000033,C0000010,2025-01-01,2025-01-05,Gift Card,Completed,93.89
O00000034,C0000010,2025-06-08,2025-06-15,Debit Card,Shipped,937.56
O00000035,C0000010,2025-12-26,2025-12-30,PayPal,Completed,1551.32
O00000036,C0000011,2024-12-26,2024-12-29,PayPal,Completed,281.3
O00000037,C0000011,2025-05-01,2025-05-05,Credit Card,Completed,1868.1
O00000038,C0000012,2025-05-09,2025-05-16,PayPal,Shipped,2378.8
O00000039,C0000013,2024-07-22,2024-07-23,UPI,Completed,173.82
O00000040,C0000014,2023-07-05,2023-07-07,Credit Card,Completed,228.86
O00000041,C0000014,2024-11-24,2024-12-01,Gift Card,Completed,45.1
O00000042,C0000014,2025-04-05,2025-04-12,Debit Card,Completed,123.63
O00000043,C0000014,2025-10-07,2025-10-09,Credit Card,Completed,51.29
O00000044,C0000014,2025-10-19,,Debit Card,Cancelled,59.52
O00000045,C0000015,2023-12-19,2023-12-23,PayPal,Completed,1135.99
O00000046,C0000016,2025-01-07,2025-01-12,Credit Card,Completed,80.36
O00000047,C0000016,2025-02-25,2025-02-27,Gift Card,Completed,505.1
O00000048,C0000016,2025-03-07,2025-03-13,Credit Card,Completed,36.9
O00000049,C0000017,2024-05-01,2024-05-02,UPI,Shipped,265.06
O00000050,C0000017,2025-01-13,2025-01-19,Credit Card,Completed,99.49
O00000051,C0000018,2023-07-30,,Gift Card,Cancelled,862.72
O00000052,C0000018,2023-10-14,2023-10-20,Debit Card,Completed,907.66
O00000053,C0000018,2024-08-17,2024-08-19,Credit Card,Returned,658.04
O00000054,C0000018,2024-09-21,2024-09-25,Debit Card,Completed,34.06
O00000055,C0000018,2024-12-18,2024-12-22,Credit Card,Completed,681.49
O00000056,C0000018,2025-02-25,2025-02-28,PayPal,Returned,1082.87
O00000057,C0000018,2025-07-23,2025-07-24,UPI,Shipped,1674.32
O00000058,C0000019,2024-03-28,2024-03-29,UPI,Completed,192.36
O00000059,C0000019,2024-06-09,2024-06-11,Gift Card,Completed,87.9
O00000060,C0000019,2024-07-13,2024-07-14,Debit Card,Completed,505.81
O00000061,C0000019,2024-12-03,2024-12-09,Debit Card,Shipped,1099.03
O00000062,C0000019,2024-12-10,2024-12-16,Debit Card,Completed,1734.51
O00000063,C0000019,2025-04-08,2025-04-13,Gift Card,Completed,162.84
O00000064,C0000019,2025-07-19,,Credit Card,Cancelled,2922.69
O00000065,C0000019,2025-11-30,2025-12-06,Credit Card,Completed,327.86
O00000066,C0000020,2024-12-14,2024-12-16,Credit Card,Completed,1114.54
O00000067,C0000020,2025-01-21,2025-01-25,Credit Card,Completed,252.24
O00000068,C0000020,2025-02-07,2025-02-10,UPI,Completed,20.33
O00000069,C0000020,2025-05-24,2025-05-30,Buy Now Pay Later,Completed,4212.4
O00000070,C0000020,2025-05-28,2025-06-03,UPI,Completed,56.06
O00000071,C0000020,2025-06-23,2025-06-28,Gift Card,Completed,407.88
O00000072,C0000020,2025-10-22,2025-10-29,PayPal,Completed,123.84
O00000073,C0000020,2025-11-03,2025-11-07,UPI,Completed,256.46
O00000074,C0000020,2025-11-27,2025-12-04,Debit Card,Completed,1616.42
O00000075,C0000020,2025-12-19,2025-12-22,Credit Card,Completed,1355.45
O00000076,C0000020,2025-12-23,2025-12-30,Debit Card,Shipped,43.92
O00000077,C0000021,2024-12-28,2025-01-01,Debit Card,Completed,952.96
O00000078,C0000021,2025-11-28,2025-12-01,Credit Card,Completed,195.3
O00000079,C0000022,2025-01-12,2025-01-16,Debit Card,Completed,552.88
O00000080,C0000023,2025-03-17,2025-03-20,Debit Card,Completed,175.95
O00000081,C0000023,2025-07-16,2025-07-22,Debit Card,Completed,1742.07
O00000082,C0000023,2025-07-26,,UPI,Cancelled,946.62
O00000083,C0000024,2023-09-01,2023-09-07,Gift Card,Completed,725.85
O00000084,C0000024,2025-11-07,2025-11-10,Gift Card,Completed,21.38
O00000085,C0000025,2025-07-24,2025-07-31,Credit Card,Completed,291.67
O00000086,C0000026,2024-10-30,2024-10-31,Debit Card,Completed,603.39
O00000087,C0000027,2024-08-16,2024-08-21,Credit Card,Completed,109.83
O00000088,C0000027,2025-03-23,2025-03-30,PayPal,Completed,98.15
O00000089,C0000027,2025-05-23,2025-05-28,Buy Now Pay Later,Completed,79.9
O00000090,C0000027,2025-07-30,2025-08-06,Gift Card,Completed,250.9
O00000091,C0000028,2025-03-14,2025-03-20,Gift Card,Completed,253.36
O00000092,C0000028,2025-06-02,2025-06-04,Debit Card,Completed,37.01
O00000093,C0000028,2025-07-22,2025-07-26,Buy Now Pay Later,Completed,43.96
O00000094,C0000028,2025-11-06,2025-11-12,Credit Card,Completed,69.14
O00000095,C0000028,2025-11-16,2025-11-18,Debit Card,Completed,250.83
O00000096,C0000029,2025-10-01,2025-10-04,UPI,Completed,391.76
O00000097,C0000029,2025-11-18,2025-11-22,Debit Card,Completed,413.89
O00000098,C0000030,2025-01-28,2025-01-31,Debit Card,Completed,177.41
O00000099,C0000031,2024-01-05,2024-01-12,Debit Card,Completed,802.53
O00000100,C0000031,2024-04-01,2024-04-05,Credit Card,Completed,1070.8
O00000101,C0000031,2024-04-25,2024-04-27,Credit Card,Completed,228.65
O00000102,C0000031,2024-05-04,2024-05-11,Debit Card,Completed,211.76
O00000103,C0000031,2024-06-02,2024-06-05,Debit Card,Completed,170.72
O00000104,C0000031,2024-06-02,2024-06-07,Debit Card,Completed,314.3
O00000105,C0000031,2024-08-23,2024-08-29,Credit Card,Completed,649.35
O00000106,C0000031,2024-08-30,2024-09-01,Buy Now Pay Later,Completed,316.69
O00000107,C0000031,2024-09-25,2024-09-29,Credit Card,Completed,45.11
O00000108,C0000031,2025-01-15,2025-01-21,Credit Card,Shipped,919.55
O00000109,C0000031,2025-06-03,2025-06-07,Debit Card,Completed,1480.92
O00000110,C0000031,2025-11-28,,Credit Card,Cancelled,1442.38
O00000111,C0000031,2025-12-19,2025-12-26,Debit Card,Completed,933.11
O00000112,C0000032,2023-11-30,2023-12-01,Credit Card,Completed,39.9
O00000113,C0000032,2024-03-22,2024-03-29,Debit Card,Completed,1447.53
O00000114,C0000032,2024-09-12,2024-09-14,Debit Card,Completed,21.16
O00000115,C0000032,2024-10-11,2024-10-14,Gift Card,Shipped,2341.74
O00000116,C0000032,2025-08-14,2025-08-19,Debit Card,Completed,162.78
O00000117,C0000032,2025-12-06,2025-12-10,Credit Card,Completed,1068.22
O00000118,C0000032,2025-12-25,2025-12-29,Credit Card,Shipped,941.44
O00000119,C0000033,2025-11-18,,UPI,Cancelled,1022.1
O00000120,C0000033,2025-11-20,2025-11-22,Credit Card,Completed,1199.98
O00000121,C0000034,2025-06-20,2025-06-22,Gift Card,Completed,208.4
O00000122,C0000035,2023-09-11,2023-09-16,PayPal,Completed,364.09
O00000123,C0000035,2024-08-24,2024-08-25,Credit Card,Completed,518.91
O00000124,C0000035,2024-11-17,2024-11-21,UPI,Shipped,135.7
O00000125,C0000035,2025-05-23,2025-05-28,Credit Card,Completed,1940.85
O00000126,C0000036,2024-12-08,2024-12-12,PayPal,Completed,932.58
O00000127,C0000037,2024-09-17,2024-09-21,Debit Card,Completed,716.17
O00000128,C0000037,2024-11-17,2024-11-22,UPI,Completed,224.99
O00000129,C0000037,2025-02-26,2025-03-05,Debit Card,Completed,124.64
O00000130,C0000038,2024-11-25,2024-12-02,Buy Now Pay Later,Shipped,683.79
O00000131,C0000038,2025-09-04,2025-09-10,UPI,Completed,843.14
O00000132,C0000038,2025-12-02,2025-12-09,Credit Card,Completed,2205.24
O00000133,C0000039,2025-12-14,2025-12-17,PayPal,Completed,150.75
O00000134,C0000040,2025-08-25,2025-08-28,Debit Card,Completed,26.58
O00000135,C0000041,2024-07-30,,Gift Card,Cancelled,505.24
O00000136,C0000041,2024-07-30,2024-08-05,PayPal,Completed,363.15
O00000137,C0000041,2025-02-13,2025-02-19,PayPal,Completed,1815.66
O00000138,C0000041,2025-09-14,2025-09-16,PayPal,Completed,1220.98
O00000139,C0000041,2025-12-01,2025-12-03,Credit Card,Completed,923.29
O00000140,C0000042,2023-08-24,2023-08-25,Debit Card,Shipped,1139.49
O00000141,C0000042,2024-03-12,2024-03-19,Credit Card,Completed,234.78
O00000142,C0000043,2023-12-11,2023-12-15,UPI,Completed,304.4
O00000143,C0000043,2024-08-23,2024-08-26,Debit Card,Completed,398.44
O00000144,C0000044,2023-11-05,2023-11-08,Credit Card,Completed,272.42
O00000145,C0000044,2023-12-03,2023-12-07,Gift Card,Returned,1546.44
O00000146,C0000045,2023-07-22,2023-07-27,Credit Card,Completed,393.36
O00000147,C0000045,2023-11-13,2023-11-20,Credit Card,Completed,46.84
O00000148,C0000045,2024-01-11,2024-01-16,Debit Card,Completed,32.07
O00000149,C0000045,2025-04-16,2025-04-17,PayPal,Completed,351.21
O00000150,C0000045,2025-05-31,2025-06-01,Credit Card,Completed,30.68
O00000151,C0000046,2024-07-27,2024-07-29,Debit Card,Completed,824.09
O00000152,C0000047,2024-08-07,2024-08-11,Credit Card,Completed,596.54
O00000153,C0000047,2024-12-17,2024-12-21,Credit Card,Completed,422.93
O00000154,C0000048,2025-09-07,2025-09-11,Debit Card,Completed,520.99
O00000155,C0000048,2025-12-19,2025-12-23,PayPal,Completed,174.85
O00000156,C0000048,2025-12-19,2025-12-24,Credit Card,Completed,955.06
O00000157,C0000049,2025-11-24,2025-11-29,PayPal,Completed,233.99
O00000158,C0000049,2025-12-04,2025-12-05,Credit Card,Completed,72.86
O00000159,C0000050,2025-12-10,2025-12-15,PayPal,Completed,2389.55
O00000160,C0000051,2023-12-10,,Debit Card,Cancelled,2962.88
O00000161,C0000052,2025-07-24,2025-07-26,Debit Card,Completed,735.76
O00000162,C0000052,2025-08-08,2025-08-13,UPI,Completed,606.19
O00000163,C0000052,2025-08-13,2025-08-17,UPI,Completed,970.65
O00000164,C0000052,2025-08-28,2025-09-01,Credit Card,Completed,1990.97
O00000165,C0000052,2025-09-02,2025-09-06,Buy Now Pay Later,Completed,1375.83
O00000166,C0000052,2025-09-27,2025-09-29,Debit Card,Completed,207.73
O00000167,C0000052,2025-10-19,2025-10-20,Credit Card,Completed,1536.64
O00000168,C0000052,2025-10-30,2025-11-01,Credit Card,Completed,272.68
O00000169,C0000052,2025-11-08,2025-11-12,Credit Card,Completed,873.47
O00000170,C0000052,2025-11-23,2025-11-25,Credit Card,Completed,78.61
O00000171,C0000052,2025-11-28,2025-12-03,Credit Card,Completed,253.04
O00000172,C0000052,2025-11-29,2025-12-06,Credit Card,Completed,77.25
O00000173,C0000052,2025-11-29,2025-12-03,Debit Card,Completed,170.6
O00000174,C0000052,2025-12-02,2025-12-07,Credit Card,Completed,57.41
O00000175,C0000052,2025-12-02,2025-12-05,Credit Card,Completed,159.63
O00000176,C0000052,2025-12-06,2025-12-08,Credit Card,Completed,1432.59
O00000177,C0000052,2025-12-08,2025-12-09,Credit Card,Completed,144.07
O00000178,C0000052,2025-12-11,2025-12-18,Debit Card,Completed,653.97
O00000179,C0000052,2025-12-17,2025-12-20,Credit Card,Completed,927.41
O00000180,C0000053,2024-11-05,2024-11-08,Debit Card,Completed,42.99
O00000181,C0000053,2024-12-14,2024-12-17,Credit Card,Shipped,168.37
O00000182,C0000053,2024-12-24,2024-12-26,Credit Card,Completed,1260.93
O00000183,C0000053,2025-03-29,2025-04-03,PayPal,Completed,351.31
O00000184,C0000053,2025-04-27,2025-04-30,Credit Card,Completed,1507.57
O00000185,C0000053,2025-05-04,2025-05-06,UPI,Completed,1511.32
O00000186,C0000053,2025-08-14,2025-08-17,Credit Card,Completed,16.78
O00000187,C0000053,2025-09-22,2025-09-25,Credit Card,Completed,36.73
O00000188,C0000053,2025-10-10,2025-10-11,Credit Card,Completed,2036.91
O00000189,C0000053,2025-10-14,2025-10-16,PayPal,Shipped,407.99
O00000190,C0000053,2025-11-16,2025-11-20,Gift Card,Completed,275.94
O00000191,C0000054,2025-07-21,2025-07-27,Buy Now Pay Later,Completed,393.87
O00000192,C0000055,2025-12-24,2025-12-28,Debit Card,Completed,1606.23
O00000193,C0000056,2025-02-11,2025-02-13,Credit Card,Completed,844.83
O00000194,C0000056,2025-02-15,2025-02-16,Credit Card,Completed,2060.52
O00000195,C0000056,2025-08-25,2025-08-28,PayPal,Completed,428.03
O00000196,C0000056,2025-10-22,2025-10-25,Credit Card,Completed,121.25
O00000197,C0000056,2025-12-07,2025-12-11,PayPal,Completed,54.6
O00000198,C0000056,2025-12-24,2025-12-30,UPI,Completed,448.64
O00000199,C0000057,2024-12-27,2024-12-29,Debit Card,Shipped,27.75
O00000200,C0000058,2025-02-22,2025-02-23,Buy Now Pay Later,Completed,335.37
O00000201,C0000058,2025-11-08,2025-11-11,Credit Card,Completed,1094.32
O00000202,C0000059,2025-07-20,2025-07-24,Debit Card,Completed,761.07
O00000203,C0000059,2025-07-24,2025-07-29,Debit Card,Completed,131.34
O00000204,C0000059,2025-08-05,2025-08-07,UPI,Completed,166.09
O00000205,C0000059,2025-11-22,2025-11-25,PayPal,Completed,77.1
O00000206,C0000059,2025-12-10,2025-12-17,UPI,Completed,35.85
O00000207,C0000060,2024-11-09,2024-11-10,Credit Card,Completed,2809.84
O00000208,C0000061,2025-07-15,2025-07-16,UPI,Completed,1597.68
O00000209,C0000062,2025-06-18,2025-06-21,Credit Card,Completed,448.99
O00000210,C0000063,2025-12-08,2025-12-09,PayPal,Completed,855.74
O00000211,C0000064,2025-06-17,2025-06-23,UPI,Completed,1722.93
O00000212,C0000065,2023-07-23,2023-07-27,PayPal,Completed,97.56
O00000213,C0000065,2024-02-29,2024-03-06,Buy Now Pay Later,Completed,1719.11
O00000214,C0000065,2025-09-29,2025-10-02,PayPal,Completed,1202.04
O00000215,C0000066,2024-05-10,2024-05-12,PayPal,Completed,407.85
O00000216,C0000066,2024-07-21,2024-07-26,Credit Card,Completed,549.54
O00000217,C0000066,2024-08-16,2024-08-17,PayPal,Shipped,87.18
O00000218,C0000067,2025-08-23,2025-08-26,Buy Now Pay Later,Completed,601.34
O00000219,C0000067,2025-10-30,2025-10-31,Credit Card,Completed,343.86
O00000220,C0000067,2025-10-31,2025-11-02,Credit Card,Completed,289.94
O00000221,C0000068,2024-03-13,2024-03-19,Credit Card,Completed,257.62
O00000222,C0000069,2024-07-04,,UPI,Cancelled,815.67
O00000223,C0000069,2024-07-18,2024-07-22,UPI,Completed,495.97
O00000224,C0000069,2024-08-25,2024-08-27,Buy Now Pay Later,Returned,587.91
O00000225,C0000069,2025-03-11,2025-03-12,Debit Card,Completed,2318.3
O00000226,C0000069,2025-11-24,2025-12-01,Buy Now Pay Later,Completed,2025.16
O00000227,C0000069,2025-11-28,2025-11-29,PayPal,Completed,997.18
O00000228,C0000069,2025-11-29,2025-12-06,Credit Card,Completed,1245.65
O00000229,C0000070,2024-12-04,2024-12-05,Gift Card,Completed,1733.51
O00000230,C0000070,2025-01-09,2025-01-13,Credit Card,Completed,166.35
O00000231,C0000071,2025-10-29,2025-10-31,Debit Card,Completed,1246.36
O00000232,C0000072,2024-05-05,2024-05-06,Credit Card,Completed,762.64
O00000233,C0000072,2024-11-02,2024-11-05,Credit Card,Completed,61.99
O00000234,C0000072,2024-11-24,2024-11-27,Credit Card,Completed,746.33
O00000235,C0000073,2024-08-15,2024-08-19,Buy Now Pay Later,Completed,1342.48
O00000236,C0000073,2024-08-26,2024-08-30,Gift Card,Completed,254.41
O00000237,C0000074,2024-07-08,2024-07-11,Buy Now Pay Later,Completed,393.02
O00000238,C0000075,2024-08-18,2024-08-22,Debit Card,Completed,917.62
O00000239,C0000075,2025-12-16,2025-12-17,Credit Card,Completed,12.12
O00000240,C0000076,2025-08-21,2025-08-26,Credit Card,Completed,680.01
O00000241,C0000077,2024-11-09,2024-11-12,PayPal,Completed,914.17
O00000242,C0000078,2024-06-29,2024-07-01,Debit Card,Completed,182.98
O00000243,C0000078,2024-09-06,2024-09-10,Credit Card,Completed,220.63
O00000244,C0000078,2025-11-27,2025-11-28,PayPal,Shipped,102.15
O00000245,C0000079,2023-11-26,2023-12-01,Credit Card,Shipped,62.58
O00000246,C0000079,2024-01-23,2024-01-25,UPI,Completed,269.09
O00000247,C0000079,2024-06-04,2024-06-08,UPI,Completed,983.21
O00000248,C0000079,2024-09-15,2024-09-16,Debit Card,Completed,599.32
O00000249,C0000079,2024-09-24,2024-10-01,Gift Card,Returned,599.15
O00000250,C0000079,2025-05-11,2025-05-12,Buy Now Pay Later,Completed,104.72
O00000251,C0000079,2025-05-12,,Credit Card,Cancelled,753.09
O00000252,C0000079,2025-06-22,2025-06-23,UPI,Completed,240.55
O00000253,C0000079,2025-07-05,2025-07-08,Credit Card,Completed,241.53
O00000254,C0000079,2025-07-09,2025-07-15,Credit Card,Completed,1001.63
O00000255,C0000079,2025-07-19,2025-07-20,Debit Card,Completed,498.6
O00000256,C0000079,2025-09-17,2025-09-22,Credit Card,Completed,145.55
O00000257,C0000080,2025-10-27,2025-10-31,UPI,Completed,536.74
O00000258,C0000080,2025-10-29,2025-11-01,Debit Card,Completed,136.24
O00000259,C0000080,2025-10-30,2025-10-31,Buy Now Pay Later,Completed,1587.54
O00000260,C0000080,2025-11-14,2025-11-21,Gift Card,Completed,261.7
O00000261,C0000080,2025-11-27,2025-11-29,Credit Card,Shipped,605.31
O00000262,C0000080,2025-12-01,2025-12-02,Credit Card,Completed,1855.73
O00000263,C0000080,2025-12-22,2025-12-26,Credit Card,Completed,2066.9
O00000264,C0000080,2025-12-23,2025-12-25,Credit Card,Returned,68.82
O00000265,C0000080,2025-12-23,2025-12-30,Credit Card,Completed,1167.58
O00000266,C0000080,2025-12-26,2025-12-31,Credit Card,Completed,201.17
O00000267,C0000080,2025-12-30,2026-01-06,PayPal,Completed,530.46
O00000268,C0000081,2025-12-24,2025-12-28,PayPal,Completed,88.83
O00000269,C0000082,2024-11-11,2024-11-18,PayPal,Completed,113.68
O00000270,C0000082,2024-11-28,2024-12-01,Debit Card,Completed,30.79
O00000271,C0000082,2024-12-05,2024-12-06,Debit Card,Completed,56.32
O00000272,C0000082,2025-01-06,2025-01-09,Debit Card,Completed,120.64
O00000273,C0000082,2025-05-18,2025-05-23,Credit Card,Completed,208.35
O00000274,C0000082,2025-06-02,2025-06-09,UPI,Shipped,768.98
O00000275,C0000082,2025-08-16,2025-08-22,Debit Card,Completed,103.4
O00000276,C0000082,2025-09-10,2025-09-15,Debit Card,Completed,217.3
O00000277,C0000082,2025-09-25,2025-09-30,Credit Card,Returned,292.72
O00000278,C0000082,2025-10-12,2025-10-14,Debit Card,Returned,233.12
O00000279,C0000082,2025-12-21,2025-12-26,Gift Card,Shipped,227.92
O00000280,C0000083,2025-11-20,2025-11-22,Buy Now Pay Later,Shipped,101.22
O00000281,C0000084,2025-12-25,2025-12-30,UPI,Completed,322.72
O00000282,C0000085,2025-12-16,2025-12-22,Buy Now Pay Later,Completed,2150.68
O00000283,C0000085,2025-12-25,2025-12-29,Credit Card,Completed,518.78
O00000284,C0000086,2025-12-17,2025-12-22,PayPal,Completed,332.37
O00000285,C0000087,2024-04-05,2024-04-11,PayPal,Completed,1574.29
O00000286,C0000087,2024-04-28,2024-04-29,PayPal,Completed,760.5
O00000287,C0000087,2024-06-20,2024-06-21,Credit Card,Returned,190.19
O00000288,C0000087,2024-11-19,2024-11-22,Credit Card,Shipped,44.79
O00000289,C0000087,2025-08-14,2025-08-16,Credit Card,Completed,277.35
O00000290,C0000087,2025-09-03,2025-09-07,PayPal,Completed,414.34
O00000291,C0000087,2025-09-09,,Debit Card,Cancelled,174.81
O00000292,C0000087,2025-10-22,2025-10-24,Gift Card,Completed,337.44
O00000293,C0000087,2025-10-24,,Credit Card,Cancelled,21.71
O00000294,C0000087,2025-11-07,2025-11-14,Buy Now Pay Later,Completed,1315.55
O00000295,C0000087,2025-12-17,2025-12-23,PayPal,Completed,185.95
O00000296,C0000087,2025-12-29,2026-01-02,PayPal,Completed,84.15
O00000297,C0000088,2023-11-29,2023-12-04,Credit Card,Completed,132.98
O00000298,C0000088,2023-11-29,2023-12-06,PayPal,Shipped,945.34
O00000299,C0000088,2024-06-01,2024-06-07,Credit Card,Completed,1333.99
O00000300,C0000088,2024-06-03,,Gift Card,Cancelled,351.02
O00000301,C0000088,2024-06-23,2024-06-26,PayPal,Completed,599.36
O00000302,C0000088,2024-10-06,2024-10-13,Debit Card,Completed,200.43
O00000303,C0000088,2025-01-02,2025-01-05,UPI,Completed,730.08
O00000304,C0000088,2025-03-04,2025-03-05,Credit Card,Completed,548.66
O00000305,C0000088,2025-09-03,2025-09-05,Credit Card,Completed,591.09
O00000306,C0000088,2025-09-08,2025-09-10,Credit Card,Completed,48.65
O00000307,C0000088,2025-10-30,2025-11-06,Credit Card,Completed,174.53
O00000308,C0000089,2023-02-14,2023-02-17,UPI,Completed,201.98
O00000309,C0000089,2023-04-11,2023-04-15,Credit Card,Completed,207.07
O00000310,C0000089,2024-05-10,2024-05-16,PayPal,Shipped,537.89
O00000311,C0000089,2024-07-07,2024-07-10,Debit Card,Completed,1897.06
O00000312,C0000089,2025-09-17,2025-09-19,UPI,Completed,376.57
O00000313,C0000089,2025-10-03,2025-10-07,Gift Card,Completed,2017.08
O00000314,C0000090,2025-07-28,2025-07-31,Credit Card,Completed,112.88
O00000315,C0000090,2025-11-26,2025-12-01,Credit Card,Completed,788.52
O00000316,C0000090,2025-12-03,2025-12-05,Gift Card,Completed,787.02
O00000317,C0000091,2024-04-06,2024-04-13,Debit Card,Completed,62.91
O00000318,C0000091,2025-06-24,2025-06-28,Debit Card,Completed,315.85
O00000319,C0000091,2025-12-03,2025-12-04,Credit Card,Completed,431.15
O00000320,C0000092,2024-10-10,2024-10-11,Debit Card,Shipped,903.64
O00000321,C0000093,2024-06-30,2024-07-04,Buy Now Pay Later,Completed,577.52
O00000322,C0000093,2024-07-10,2024-07-12,Credit Card,Completed,686.41
O00000323,C0000093,2024-08-06,2024-08-12,Credit Card,Completed,87.69
O00000324,C0000093,2024-10-30,2024-11-03,PayPal,Completed,843.97
O00000325,C0000093,2024-11-05,2024-11-09,PayPal,Completed,417.4
O00000326,C0000093,2024-11-22,2024-11-26,Debit Card,Completed,1245.29
O00000327,C0000093,2024-12-02,2024-12-06,Credit Card,Completed,504.07
O00000328,C0000093,2025-05-27,2025-05-30,Credit Card,Completed,479.32
O00000329,C0000093,2025-06-10,2025-06-12,credit card,Completed,198.5
O00000330,C0000093,2025-12-01,2025-12-08,Gift Card,Completed,938.87
O00000331,C0000093,2025-12-29,2026-01-01,Gift Card,Completed,306.7
O00000332,C0000094,2024-11-04,2024-11-08,Credit Card,Completed,114.7
O00000333,C0000094,2024-11-06,2024-11-08,PayPal,Completed,267.74
O00000334,C0000094,2024-11-13,2024-11-19,Credit Card,Completed,550.97
O00000335,C0000094,2025-06-07,2025-06-08,PayPal,Completed,84.0
O00000336,C0000094,2025-09-07,2025-09-11,Credit Card,Completed,62.29
O00000337,C0000094,2025-09-17,2025-09-23,Debit Card,Completed,273.1
O00000338,C0000094,2025-11-22,2025-11-28,PayPal,Shipped,635.71
O00000339,C0000094,2025-12-11,2025-12-17,Credit Card,Completed,266.6
O00000340,C0000094,2025-12-25,2025-12-31,Credit Card,Completed,1395.93
O00000341,C0000095,2025-12-01,2025-12-04,PayPal,Completed,33.31
O00000342,C0000095,2025-12-09,2025-12-14,Debit Card,Completed,1270.8
O00000343,C0000095,2025-12-29,2025-12-30,Buy Now Pay Later,Returned,922.64
O00000344,C0000096,2024-06-01,2024-06-05,Credit Card,Returned,550.33
O00000345,C0000096,2024-08-01,2024-08-07,Gift Card,Completed,667.16
O00000346,C0000096,2024-09-08,2024-09-12,Buy Now Pay Later,Completed,177.41
O00000347,C0000096,2025-07-26,2025-08-02,Gift Card,Completed,615.07
O00000348,C0000097,2023-12-18,2023-12-20,PayPal,Returned,863.3
O00000349,C0000097,2024-10-27,2024-10-29,Debit Card,Shipped,454.66
O00000350,C0000097,2025-01-18,2025-01-25,Credit Card,Completed,100.03
O00000351,C0000097,2025-05-08,2025-05-10,Credit Card,Completed,263.86
O00000352,C0000097,2025-12-23,2025-12-24,Gift Card,Completed,2895.99
O00000353,C0000098,2024-10-09,2024-10-13,Buy Now Pay Later,Completed,59.67
O00000354,C0000098,2025-04-25,2025-04-29,Debit Card,Completed,991.86
O00000355,C0000098,2025-07-10,2025-07-15,Debit Card,Completed,123.26
O00000356,C0000098,2025-11-23,2025-11-30,Debit Card,Completed,1445.76
O00000357,C0000098,2025-11-25,2025-11-29,Credit Card,Completed,67.46
O00000358,C0000098,2025-12-01,2025-12-08,Credit Card,Completed,381.89
O00000359,C0000099,2024-11-21,2024-11-27,Credit Card,Shipped,569.72
O00000360,C0000099,2025-08-23,2025-08-30,PayPal,Completed,206.06
O00000361,C0000100,2025-08-05,2025-08-12,Buy Now Pay Later,Completed,24.13
O00000362,C0000100,2025-11-15,2025-11-18,PayPal,Shipped,105.11
O00000363,C0000100,2025-12-19,2025-12-24,Debit Card,Completed,4298.64
O00000364,C0000101,2025-09-23,2025-09-28,Credit Card,Completed,1244.69
O00000365,C0000101,2025-12-18,2025-12-25,Credit Card,Completed,712.59
